time,px,py,pz,vx,vy,vz,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref,T1,T2,T3,T4
0.0,-5.0,4.5,1.1990628242492676,0.0,0.0,-0.09372220933437347,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,2.5353434085845947,3.218900442123413,3.4830453395843506,2.6740496158599854
0.01,-5.0,4.5,1.1972976922988892,0.0,0.0,-0.17650896310806274,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,2.905986785888672,3.708714723587036,3.979177236557007,3.050743341445923
0.02,-5.0,4.5,1.1948555707931519,6.52136520784552e-07,-6.079740160203073e-06,-0.24421776831150055,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,3.338376522064209,4.169192314147949,4.443548202514648,3.491417169570923
0.03,-5.0,4.499999523162842,1.1919118165969849,6.491135081887478e-06,-5.9057376347482204e-05,-0.29437416791915894,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,3.855443239212036,4.517548084259033,4.831445217132568,3.996561050415039
0.04,-4.999999523162842,4.499996662139893,1.1886522769927979,3.2288386137224734e-05,-0.0002825133269652724,-0.32595154643058777,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,4.388126373291016,4.701322078704834,5.0804829597473145,4.479797840118408
0.05,-4.999998569488525,4.499987602233887,1.1852606534957886,0.00010969528375426307,-0.0009215986938215792,-0.33916234970092773,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,4.932485580444336,4.681416988372803,5.178391456604004,4.915929794311523
0.06,-4.999995708465576,4.499964237213135,1.1819047927856445,0.0002883844426833093,-0.0023350336123257875,-0.3355855345726013,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,5.300086975097656,4.525189399719238,5.0835442543029785,5.175135135650635
0.07,-4.9999895095825195,4.49991512298584,1.178729772567749,0.0006256350898183882,-0.004926288966089487,-0.3175002336502075,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,5.5601677894592285,4.306001663208008,4.920647144317627,5.311147689819336
0.08,-4.9999775886535645,4.4998250007629395,1.1758527755737305,0.0011697368463501334,-0.009031437337398529,-0.28770342469215393,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,5.554731369018555,4.133842945098877,4.751960277557373,5.276628017425537
0.09,-4.999958038330078,4.499676704406738,1.173362374305725,0.001941122580319643,-0.014812303707003593,-0.24904431402683258,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,5.427671432495117,3.9699318408966064,4.578547477722168,5.17844820022583
0.1,-4.999928951263428,4.499454975128174,1.1713159084320068,0.0029221689328551292,-0.022184064611792564,-0.20464372634887695,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,5.013491630554199,3.888970375061035,4.425278663635254,4.886301517486572
0.11,-4.9998884201049805,4.499146938323975,1.1697392463684082,0.00405978225171566,-0.030808977782726288,-0.15767048299312592,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,4.524885654449463,3.7630808353424072,4.226122856140137,4.4906840324401855
0.12,-4.99983549118042,4.498744964599609,1.168627142906189,0.005285174120217562,-0.04017985612154007,-0.11121539026498795,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,3.9102063179016113,3.67484450340271,4.023021697998047,3.9679627418518066
0.13,-4.999770164489746,4.498247146606445,1.1679518222808838,0.00653777876868844,-0.049776509404182434,-0.06753522157669067,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,3.4771339893341064,3.497894763946533,3.804441213607788,3.5352694988250732
0.14,-4.999692440032959,4.497655391693115,1.1676713228225708,0.007782941684126854,-0.05919507518410683,-0.028044598177075386,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,3.0907576084136963,3.390911817550659,3.626626968383789,3.171151876449585
0.15,-4.999602317810059,4.496973514556885,1.1677379608154297,0.009009287692606449,-0.06819775700569153,0.006658283993601799,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,2.906930923461914,3.19472599029541,3.4420430660247803,2.9631030559539795
0.16,-4.999500274658203,4.496206283569336,1.1681021451950073,0.010226373560726643,-0.07670766115188599,0.03641732782125473,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.729763984680176,3.081352949142456,3.29878830909729,2.7940168380737305
0.17,-4.999385833740234,4.495358467102051,1.168717384338379,0.011454942636191845,-0.08477098494768143,0.06151914969086647,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.717163562774658,2.8883776664733887,3.149033784866333,2.7490267753601074
0.18,-4.999258518218994,4.494433403015137,1.169540524482727,0.01272274274379015,-0.09250800311565399,0.0823165625333786,-4.999300003051758,4.498000144958496,1.2003999948501587,0.014762000180780888,-0.04336300119757652,0.008685999549925327,2.653395891189575,2.793379068374634,3.0431320667266846,2.6880784034729004
0.19,-4.999117851257324,4.493432521820068,1.1705328226089478,0.014056147076189518,-0.10006523877382278,0.09923229366540909,-4.999300003051758,4.498000144958496,1.2003999948501587,0.014762000180780888,-0.04336300119757652,0.008685999549925327,2.714674234390259,2.6062934398651123,2.9166297912597656,2.692493200302124
0.2,-4.998962879180908,4.492356777191162,1.1716595888137817,0.015480518341064453,-0.1075955182313919,0.11268024891614914,-4.999000072479248,4.497000217437744,1.200600028038025,0.019936000928282738,-0.05829000100493431,0.01168499980121851,2.684837579727173,2.541182518005371,2.851907730102539,2.6476242542266846
0.21,-4.99879264831543,4.491204261779785,1.1728912591934204,0.017013411968946457,-0.11523265391588211,0.12316334247589111,-4.999000072479248,4.497000217437744,1.200600028038025,0.019936000928282738,-0.05829000100493431,0.01168499980121851,2.765450954437256,2.4113552570343018,2.765913248062134,2.675323724746704
0.22,-4.998606204986572,4.489973545074463,1.1742018461227417,0.018663490191102028,-0.12308050692081451,0.13105911016464233,-4.998499870300293,4.49560022354126,1.2008999586105347,0.026122000068426132,-0.0760200023651123,0.015250500291585922,2.713226079940796,2.409669876098633,2.7352564334869385,2.6361918449401855
0.23,-4.998402118682861,4.488661289215088,1.1755695343017578,0.020428387448191643,-0.13120675086975098,0.13676787912845612,-4.998499870300293,4.49560022354126,1.2008999586105347,0.026122000068426132,-0.0760200023651123,0.015250500291585922,2.7661521434783936,2.3313517570495605,2.6711385250091553,2.661885976791382
0.24,-4.998178958892822,4.487264633178711,1.1769752502441406,0.022298503667116165,-0.13964802026748657,0.1405758410692215,-4.997900009155273,4.493899822235107,1.201200008392334,0.033384498208761215,-0.0966849997639656,0.019411999732255936,2.677330255508423,2.3859753608703613,2.6704344749450684,2.6095147132873535
0.25,-4.997936248779297,4.485780715942383,1.1784031391143799,0.02425803616642952,-0.14841151237487793,0.14278586208820343,-4.997900009155273,4.493899822235107,1.201200008392334,0.033384498208761215,-0.0966849997639656,0.019411999732255936,2.7006747722625732,2.346545696258545,2.625746965408325,2.6286685466766357
0.26,-4.997673511505127,4.484205722808838,1.179840326309204,0.02629266493022442,-0.1574980914592743,0.1437234729528427,-4.997200012207031,4.491700172424316,1.20169997215271,0.04177999868988991,-0.12041500210762024,0.024195000529289246,2.5949692726135254,2.4606833457946777,2.6705431938171387,2.5758883953094482
0.27,-4.997389793395996,4.482536792755127,1.1812763214111328,0.028386659920215607,-0.16688469052314758,0.14360512793064117,-4.997200012207031,4.491700172424316,1.20169997215271,0.04177999868988991,-0.12041500210762024,0.024195000529289246,2.6157212257385254,2.4335596561431885,2.642272710800171,2.590365171432495
0.28,-4.997084617614746,4.480771064758301,1.182703971862793,0.030534734949469566,-0.17656970024108887,0.1427619457244873,-4.996200084686279,4.489099979400635,1.2022000551223755,0.05135999992489815,-0.14729000627994537,0.02961999922990799,2.524463176727295,2.5700955390930176,2.7096123695373535,2.5450937747955322
0.29,-4.996757507324219,4.47890567779541,1.1841175556182861,0.0327337309718132,-0.1865374892950058,0.14135533571243286,-4.996200084686279,4.489099979400635,1.2022000551223755,0.05135999992489815,-0.14729000627994537,0.02961999922990799,2.570847511291504,2.5307469367980957,2.6909728050231934,2.5659070014953613
0.3,-4.996407508850098,4.476937770843506,1.1855148077011108,0.03499593958258629,-0.19681410491466522,0.13971936702728271,-4.995100021362305,4.485799789428711,1.2028000354766846,0.062174998223781586,-0.17739999294281006,0.03570450097322464,2.5126490592956543,2.6654908657073975,2.7694480419158936,2.537271022796631
0.31,-4.996034145355225,4.474863529205322,1.1868942975997925,0.03733449801802635,-0.20741108059883118,0.13794374465942383,-4.995100021362305,4.485799789428711,1.2028000354766846,0.062174998223781586,-0.17739999294281006,0.03570450097322464,2.5943686962127686,2.597219944000244,2.7506892681121826,2.5685365200042725
0.32,-4.995636463165283,4.472679615020752,1.1882575750350952,0.03977829962968826,-0.21839091181755066,0.1363285630941391,-4.99370002746582,4.481900215148926,1.2036000490188599,0.07425999641418457,-0.2107899934053421,0.042461998760700226,2.5625014305114746,2.7209129333496094,2.8336246013641357,2.5515363216400146
0.33,-4.995213031768799,4.470381736755371,1.1896066665649414,0.04235265403985977,-0.22979645431041718,0.13490669429302216,-4.99370002746582,4.481900215148926,1.2036000490188599,0.07425999641418457,-0.2107899934053421,0.042461998760700226,2.681072950363159,2.623556137084961,2.8073019981384277,2.599236488342285
0.34,-4.994761943817139,4.4679646492004395,1.190946102142334,0.045095402747392654,-0.24172250926494598,0.1339416801929474,-4.992099761962891,4.477399826049805,1.2044999599456787,0.08765500038862228,-0.24750499427318573,0.04990199953317642,2.6652681827545166,2.739773750305176,2.8874881267547607,2.596761465072632
0.35000000000000003,-4.994281768798828,4.4654221534729,1.1922802925109863,0.04803391918540001,-0.2542325258255005,0.13341480493545532,-4.992099761962891,4.477399826049805,1.2044999599456787,0.08765500038862228,-0.24750499427318573,0.04990199953317642,2.8139688968658447,2.620438575744629,2.8497800827026367,2.659562587738037
0.36,-4.993769645690918,4.462748050689697,1.1936155557632446,0.05120344087481499,-0.2674340009689331,0.13352569937705994,-4.990200042724609,4.4720001220703125,1.2056000232696533,0.10238999873399734,-0.2875649929046631,0.05803000181913376,2.7951576709747314,2.7367520332336426,2.9212584495544434,2.6639368534088135
0.37,-4.993223190307617,4.459934234619141,1.1949577331542969,0.0546223409473896,-0.28139039874076843,0.13421189785003662,-4.990200042724609,4.4720001220703125,1.2056000232696533,0.10238999873399734,-0.2875649929046631,0.05803000181913376,2.952113389968872,2.613785743713379,2.8708300590515137,2.7377612590789795
0.38,-4.992640018463135,4.456972122192383,1.1963139772415161,0.05831379443407059,-0.29620081186294556,0.13562732934951782,-4.98799991607666,4.465799808502197,1.2069000005722046,0.11849000304937363,-0.3309650123119354,0.06684999912977219,2.9049060344696045,2.753997325897217,2.9365146160125732,2.744640588760376
0.39,-4.9920172691345215,4.453853130340576,1.1976903676986694,0.062278956174850464,-0.311901330947876,0.13764120638370514,-4.98799991607666,4.465799808502197,1.2069000005722046,0.11849000304937363,-0.3309650123119354,0.06684999912977219,3.041245937347412,2.641796350479126,2.874615430831909,2.8151652812957764
0.4,-4.991352081298828,4.450567722320557,1.1990940570831299,0.06652693450450897,-0.3285638391971588,0.14036919176578522,-4.985499858856201,4.458799839019775,1.208299994468689,0.13597500324249268,-0.3776949942111969,0.07636500149965286,2.957674741744995,2.8086721897125244,2.940778970718384,2.814821481704712
0.41000000000000003,-4.9906415939331055,4.447105884552002,1.2005304098129272,0.07104606926441193,-0.3461863696575165,0.14363810420036316,-4.985499858856201,4.458799839019775,1.208299994468689,0.13597500324249268,-0.3776949942111969,0.07636500149965286,3.0732204914093018,2.702529191970825,2.87746524810791,2.8761231899261475
0.42,-4.989882946014404,4.44345760345459,1.2020061016082764,0.07584183663129807,-0.3648149371147156,0.14756634831428528,-4.982600212097168,4.450699806213379,1.2099000215530396,0.1548600047826767,-0.427729994058609,0.08656500279903412,2.96513032913208,2.8929388523101807,2.9522078037261963,2.8661744594573975
0.43,-4.989073753356934,4.439613342285156,1.203525424003601,0.0809011235833168,-0.3844096064567566,0.15193302929401398,-4.982600212097168,4.450699806213379,1.2099000215530396,0.1548600047826767,-0.427729994058609,0.08656500279903412,3.0659866333007812,2.780879497528076,2.893143653869629,2.909165620803833
0.44,-4.988211154937744,4.435563564300537,1.2050937414169312,0.08623727411031723,-0.40499281883239746,0.15682807564735413,-4.979300022125244,4.4415998458862305,1.2117999792099,0.17516499757766724,-0.48102501034736633,0.09744500368833542,2.937870740890503,2.9828274250030518,2.9776182174682617,2.8736732006073
