time,px,py,pz,vx,vy,vz,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref,T1,T2,T3,T4
0.0,-5.0,4.5,1.1990649700164795,0.0,0.0,-0.09351181983947754,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,2.978370189666748,3.674150228500366,3.4052937030792236,3.084198236465454
0.01,-5.0,4.5,1.1973341703414917,0.0,0.0,-0.17307592928409576,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,4.590803146362305,5.191464900970459,4.951602935791016,4.511303901672363
0.02,-5.0,4.5,1.1950377225875854,3.1931226658343803e-06,-5.029675776313525e-06,-0.22964085638523102,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,6.284497261047363,6.775244235992432,6.653269290924072,6.086005210876465
0.03,-4.999999523162842,4.499999523162842,1.1924678087234497,3.0194720238796435e-05,-5.02250695717521e-05,-0.2569913864135742,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,7.4799418449401855,7.837880611419678,7.846174240112305,7.207988739013672
0.04,-4.999998092651367,4.499997138977051,1.1899359226226807,0.0001381727197440341,-0.00024285237304866314,-0.2531828284263611,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,8.046557426452637,8.301397323608398,8.400782585144043,7.72121000289917
0.05,-4.999993801116943,4.499989032745361,1.187727928161621,0.00042595676495693624,-0.0007899327902123332,-0.22080469131469727,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,7.9775285720825195,8.16638469696045,8.310432434082031,7.6463236808776855
0.06,-4.999983787536621,4.499969005584717,1.1860644817352295,0.0010133963078260422,-0.001981397857889533,-0.16634447872638702,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,7.333014965057373,7.492477893829346,7.688674449920654,7.08205509185791
0.07,-4.999963760375977,4.499927997589111,1.1850717067718506,0.002000770764425397,-0.004116818308830261,-0.09928338974714279,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,6.290848255157471,6.392400741577148,6.554377555847168,6.05486536026001
0.08,-4.999929428100586,4.49985408782959,1.184762954711914,0.0034245955757796764,-0.007390901446342468,-0.030879393219947815,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,4.885748386383057,4.927494049072266,5.139652729034424,4.772533416748047
0.09,-4.999876976013184,4.4997358322143555,1.1850529909133911,0.0052433134987950325,-0.011817206628620625,0.028999440371990204,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,3.6226940155029297,3.5362560749053955,3.753969430923462,3.5700457096099854
0.1,-4.999803066253662,4.499563217163086,1.1858043670654297,0.007376666646450758,-0.017281455919146538,0.07513780891895294,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,2.774813652038574,2.5914876461029053,2.826719045639038,2.7940523624420166
0.11,-4.999705791473389,4.499327182769775,1.1868665218353271,0.009739990346133709,-0.02360651083290577,0.10622075945138931,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,2.358980417251587,2.0402932167053223,2.1937456130981445,2.310880422592163
0.12,-4.9995832443237305,4.499021053314209,1.1881023645401,0.012273386120796204,-0.030630366876721382,0.12358855456113815,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,2.1377713680267334,1.7752729654312134,1.8898571729660034,2.084563970565796
0.13,-4.999433994293213,4.498639106750488,1.1893962621688843,0.014937756583094597,-0.03820810839533806,0.12939335405826569,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,2.0936360359191895,1.658337950706482,1.683814287185669,1.9410457611083984
0.14,-4.999256610870361,4.498176574707031,1.1906598806381226,0.01772807538509369,-0.04626505821943283,0.12636764347553253,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,2.0431363582611084,1.6489217281341553,1.7243213653564453,1.9565284252166748
0.15,-4.999050140380859,4.497629165649414,1.1918264627456665,0.020645739510655403,-0.054731208831071854,0.11665776371955872,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,2.085078477859497,1.6688467264175415,1.7169564962387085,1.957554578781128
0.16,-4.998812675476074,4.496993064880371,1.192853331565857,0.023724514991044998,-0.06362669914960861,0.10268799960613251,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.1067519187927246,1.7915533781051636,1.916382908821106,2.0864596366882324
0.17,-4.998542785644531,4.49626350402832,1.1937148571014404,0.026993654668331146,-0.07295425981283188,0.08615544438362122,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.2395098209381104,1.923366665840149,2.0110979080200195,2.1449127197265625
0.18,-4.998237609863281,4.49543571472168,1.1944042444229126,0.030509328469634056,-0.08278756588697433,0.06893863528966904,-4.999300003051758,4.498000144958496,1.2003999948501587,0.014762000180780888,-0.04336300119757652,0.008685999549925327,2.3454554080963135,2.1426095962524414,2.278494358062744,2.3066554069519043
