episode,step,time_s,gate_idx,reward,terminated,truncated,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,action_0,action_1,action_2,action_3
0,1,0.01,0,-0.005547413602471352,0,0,-1.4086822271347046,-2.412846326828003,1.1717889308929443,2.7550353479455225e-05,0.003278157440945506,0.2326073795557022,0.9998894929885864,-0.014867475256323814,0.00012486848572734743,-8.976813660410699e-06,-5.947208881378174,0.04997973516583443,-0.0035907444544136524,0.9916144609451294,0.018611004576086998,0.0006499140872620046,0.9901256561279297
0,2,0.02,0,-0.010082249529659748,0,0,-1.4086813926696777,-2.412731885910034,1.1751331090927124,0.0001703985471976921,0.02393013797700405,0.43591421842575073,0.9983176589012146,-0.05798058211803436,0.0003324860008433461,-3.559106698958203e-05,-11.310827255249023,0.03329169750213623,-0.008593397215008736,0.9077637195587158,0.019980520009994507,0.009262576699256897,0.8913838863372803
0,3,0.03,0,-0.008074307814240456,0,0,-1.4086799621582031,-2.4123950004577637,1.1796369552612305,-1.3636541552841663e-05,0.04567956179380417,0.46447548270225525,0.9938662052154541,-0.11055108904838562,-0.002869935240596533,0.00045777729246765375,-9.794890403747559,-1.3278290033340454,0.0987682119011879,0.03601539134979248,0.062154073268175125,0.5768448710441589,0.10286667943000793
0,4,0.04,0,-0.008255213499069214,0,0,-1.4086869955062866,-2.4117555618286133,1.1844929456710815,-0.0016163355903699994,0.08457964658737183,0.5060635805130005,0.9869828224182129,-0.1606535017490387,-0.00729615380987525,0.0014878504443913698,-10.435575485229492,-0.4796605110168457,0.18915852904319763,0.07895966619253159,0.11508411169052124,0.21788428723812103,0.4657736122608185
0,5,0.05,0,-0.006225378252565861,0,0,-1.4087176322937012,-2.4106216430664062,1.1898376941680908,-0.004800388589501381,0.144697368144989,0.5619192719459534,0.9780287742614746,-0.2080763578414917,-0.012378997169435024,0.003275664057582617,-8.867094993591309,-1.6444178819656372,0.3124552369117737,0.04835337772965431,0.11797147244215012,0.6406746506690979,0.19350746273994446
0,6,0.06,0,-0.005956562235951424,0,0,-1.408794641494751,-2.408755302429199,1.195835828781128,-0.010939491912722588,0.23122470080852509,0.6363639235496521,0.9672894477844238,-0.2530372440814972,-0.01712489128112793,0.005485094618052244,-9.617484092712402,-0.3939739465713501,0.4143815040588379,0.11080066114664078,0.19755613803863525,0.2625347077846527,0.5979226231575012
0,7,0.07,0,-0.003003374207764864,0,0,-1.408942461013794,-2.4059269428253174,1.2025659084320068,-0.01898052915930748,0.33687472343444824,0.7081266641616821,0.9553928971290588,-0.2944125533103943,-0.021777909249067307,0.008450847119092941,-7.590389251708984,-1.7017347812652588,0.5496971011161804,0.05776689946651459,0.18154923617839813,0.7579651474952698,0.21431057155132294
0,8,0.08,0,-0.0019612666219472885,0,0,-1.4091975688934326,-2.4018120765686035,1.2101937532424927,-0.03244028240442276,0.4887755513191223,0.8154294490814209,0.9428906440734863,-0.3319125771522522,-0.025566358119249344,0.011731316335499287,-8.200740814208984,-0.11733496189117432,0.6488214731216431,0.16947560012340546,0.3361316919326782,0.3364829123020172,0.7060480713844299
0,9,0.09,0,0.0014820466749370098,0,0,-1.4095872640609741,-2.396191358566284,1.2187230587005615,-0.04574982449412346,0.6374101042747498,0.888625979423523,0.9301040768623352,-0.36592286825180054,-0.027816401794552803,0.015271646901965141,-6.301563262939453,-1.1760603189468384,0.7809953689575195,0.09205525368452072,0.23735424876213074,0.7627038955688477,0.2826476991176605
0,10,0.1,0,0.003360781352967024,0,0,-1.4101442098617554,-2.3887650966644287,1.2282027006149292,-0.0658741295337677,0.8501201868057251,1.0050196647644043,0.9178165197372437,-0.39552345871925354,-0.0285953301936388,0.018874185159802437,-6.47609281539917,0.4012693166732788,0.8668866753578186,0.22244808077812195,0.4609086215496063,0.4258396625518799,0.7227616906166077
0,11,0.11,0,0.007224628701806068,0,0,-1.4108903408050537,-2.3792996406555176,1.238637924194336,-0.08336343616247177,1.0445879697799683,1.0801939964294434,0.9062599539756775,-0.42126959562301636,-0.02703586034476757,0.02222304604947567,-4.7559685707092285,-0.29879313707351685,0.9848686456680298,0.14728069305419922,0.3229690492153168,0.7506776452064514,0.35864096879959106
0,12,0.12,0,0.009176190011203289,0,0,-1.4118365049362183,-2.367572546005249,1.2499960660934448,-0.10568509250879288,1.3025439977645874,1.1893205642700195,0.8955796360969543,-0.4435608386993408,-0.02353481948375702,0.025241771712899208,-5.0614166259765625,1.1411230564117432,1.0471627712249756,0.31987014412879944,0.5147179961204529,0.43880340456962585,0.7332112789154053
0,13,0.13,0,0.014016940258443356,0,0,-1.4129804372787476,-2.353417158126831,1.2622344493865967,-0.12280680239200592,1.5296108722686768,1.2568825483322144,0.8867112994194031,-0.4611068367958069,-0.018304243683815002,0.02808196097612381,-2.7190170288085938,0.32063132524490356,1.1507090330123901,0.15660257637500763,0.4148462116718292,0.8246402144432068,0.3076844811439514
0,14,0.14,0,0.01598444953560829,0,0,-1.4143085479736328,-2.3366754055023193,1.27530837059021,-0.14245280623435974,1.8197300434112549,1.3564523458480835,0.8796184659004211,-0.47448068857192993,-0.012726260349154472,0.0312664732336998,-3.246849775314331,1.1685880422592163,1.1888617277145386,0.4506688714027405,0.5096589922904968,0.46814751625061035,0.6988405585289001
0,15,0.15,0,0.020510032773017883,0,0,-1.415806770324707,-2.3172106742858887,1.289200782775879,-0.15670301020145416,2.073807954788208,1.421120524406433,0.8743435740470886,-0.48408418893814087,-0.005483783315867186,0.0339977964758873,-1.029202938079834,0.9534434080123901,1.2647881507873535,0.1861296147108078,0.5220512747764587,0.7594923377037048,0.3599563241004944
0,16,0.16,0,0.02127939648926258,0,0,-1.4174219369888306,-2.2954156398773193,1.3035780191421509,-0.16574199497699738,2.285586357116699,1.4537018537521362,0.8699641823768616,-0.4917980432510376,0.003926872741430998,0.035800639539957047,-2.384443759918213,2.0845162868499756,1.2642806768417358,0.3929422199726105,0.36172544956207275,0.17068307101726532,0.5812358260154724
0,17,0.17,0,0.02413848787546158,0,0,-1.4191019535064697,-2.2716758251190186,1.3181495666503906,-0.1696096956729889,2.462665319442749,1.4601528644561768,0.8661628365516663,-0.49818769097328186,0.01562325470149517,0.03642697259783745,-0.4207305908203125,1.9592678546905518,1.3053741455078125,0.10067641735076904,0.4102167785167694,0.539637565612793,0.19384555518627167
0,18,0.18,0,0.024650534614920616,0,0,-1.4207996129989624,-2.2465033531188965,1.3325763940811157,-0.16945822536945343,2.571955680847168,1.4250297546386719,0.8635033369064331,-0.5022128820419312,0.028454668819904327,0.03653167560696602,-1.31734299659729,2.541210889816284,1.2990385293960571,0.2224530130624771,0.17627914249897003,0.06150568649172783,0.3029085099697113
0,19,0.19,0,0.02530335634946823,0,0,-1.4224821329116821,-2.2202823162078857,1.3466180562973022,-0.16655027866363525,2.6723783016204834,1.3830679655075073,0.860153079032898,-0.5069541931152344,0.043419599533081055,0.0353403314948082,-0.7610051035881042,2.974517345428467,1.2941114902496338,0.09562335908412933,0.26586711406707764,0.17912599444389343,0.1556762009859085
0,20,0.2,0,0.02568422444164753,0,0,-1.424129843711853,-2.1932384967803955,1.3601330518722534,-0.16263434290885925,2.736424684524536,1.3198049068450928,0.8572143912315369,-0.5103889107704163,0.059879202395677567,0.03318458050489426,-0.7464388012886047,3.2256569862365723,1.2842895984649658,0.09830496460199356,0.14916980266571045,0.07975903153419495,0.11451369524002075
0,21,0.21,0,0.02592359110713005,0,0,-1.425730586051941,-2.1655900478363037,1.3729918003082275,-0.15717072784900665,2.7932825088500977,1.251824140548706,0.8541494607925415,-0.5133616328239441,0.07722829282283783,0.03040512464940548,-0.6016537547111511,3.4037463665008545,1.2752094268798828,0.07972435653209686,0.14021436870098114,0.08501912653446198,0.08573523163795471
0,22,0.22,0,0.02613983303308487,0,0,-1.4272706508636475,-2.1374073028564453,1.3851491212844849,-0.15052273869514465,2.8432979583740234,1.1795481443405151,0.8510884046554565,-0.5156078338623047,0.09518749266862869,0.027140198275446892,-0.4750043749809265,3.5248820781707764,1.2659496068954468,0.07423502206802368,0.12230934202671051,0.07627701014280319,0.0701100081205368
0,23,0.23,0,0.02633758634328842,0,0,-1.4287382364273071,-2.108745574951172,1.396569848060608,-0.14269223809242249,2.8890490531921387,1.104498028755188,0.8479965329170227,-0.5171635150909424,0.1135394424200058,0.023504523560404778,-0.35453903675079346,3.607621669769287,1.256561040878296,0.07078856229782104,0.111416295170784,0.0715978667140007,0.059752508997917175
0,24,0.24,0,0.026530316099524498,0,0,-1.4301214218139648,-2.0796406269073486,1.407230257987976,-0.13366597890853882,2.931927442550659,1.0274981260299683,0.844862163066864,-0.5180408954620361,0.13213038444519043,0.01957531087100506,-0.23812395334243774,3.6622395515441895,1.2469873428344727,0.0689379870891571,0.10411625355482101,0.0686512291431427,0.05254531279206276
0,25,0.25,0,0.026724934577941895,0,0,-1.431408166885376,-2.050116777420044,1.4171135425567627,-0.12341119349002838,2.972810983657837,0.9490671753883362,0.8416807055473328,-0.5182497501373291,0.15084223449230194,0.015408993698656559,-0.12490082532167435,3.6948800086975098,1.2371602058410645,0.06823980063199997,0.09908641129732132,0.06676677614450455,0.0473288893699646
0,26,0.26,0,0.02692568302154541,0,0,-1.4325861930847168,-2.0201919078826904,1.4262067079544067,-0.11192312091588974,3.012148141860962,0.8694866299629211,0.8384490609169006,-0.5178080797195435,0.16957557201385498,0.011052824556827545,-0.0179111510515213,3.7078542709350586,1.2270421981811523,0.0685400515794754,0.09490694105625153,0.06523877382278442,0.04340231046080589
0,27,0.27,0,0.02713317796587944,0,0,-1.4336438179016113,-1.9898821115493774,1.4344981908798218,-0.09935899078845978,3.0497548580169678,0.788726806640625,0.8351647853851318,-0.5167428255081177,0.18823862075805664,0.006552822422236204,0.08279767632484436,3.7019081115722656,1.2168532609939575,0.0682653859257698,0.09024679660797119,0.06368861347436905,0.03963332995772362
0,28,0.28,0,0.02733880840241909,0,0,-1.4345707893371582,-1.9592043161392212,1.4419766664505005,-0.08578836917877197,3.0857553482055664,0.7068980932235718,0.8318356871604919,-0.5150704979896545,0.20675605535507202,0.0019446914084255695,0.1833970844745636,3.683337926864624,1.2066502571105957,0.06718440353870392,0.08681846410036087,0.06247701495885849,0.036259301006793976
0,29,0.29,0,0.02754196710884571,0,0,-1.435356855392456,-1.9281729459762573,1.4486324787139893,-0.0711955651640892,3.1204450130462646,0.6241806149482727,0.828478217124939,-0.5127970576286316,0.22506792843341827,-0.0027472488582134247,0.28374773263931274,3.652644634246826,1.1963509321212769,0.06677904725074768,0.08410773426294327,0.06167452782392502,0.0334242545068264
0,30,0.3,0,0.027745801955461502,0,0,-1.4359917640686035,-1.89680016040802,1.4544572830200195,-0.05556251481175423,3.1540443897247314,0.5407133102416992,0.8251166939735413,-0.5099279284477234,0.24310466647148132,-0.007493257522583008,0.3851430416107178,3.604252815246582,1.1859290599822998,0.06723112612962723,0.08152525126934052,0.0618467777967453,0.030457891523838043
0,31,0.31,0,0.02794487774372101,0,0,-1.436464548110962,-1.8650951385498047,1.4594446420669556,-0.03878616541624069,3.186887264251709,0.456678569316864,0.8217828869819641,-0.5064690113067627,0.26079073548316956,-0.012260612100362778,0.4871828556060791,3.5403192043304443,1.1752246618270874,0.06843641400337219,0.07995986938476562,0.062245264649391174,0.028168926015496254
0,32,0.32,0,0.028135210275650024,0,0,-1.4367636442184448,-1.8330646753311157,1.4635893106460571,-0.020819734781980515,3.2191274166107178,0.3721765875816345,0.8185098171234131,-0.5024346709251404,0.2780497968196869,-0.017014136537909508,0.5872567296028137,3.457547903060913,1.1642905473709106,0.07042441517114639,0.07817897945642471,0.06311063468456268,0.026266079396009445
0,33,0.33,0,0.028306707739830017,0,0,-1.4368773698806763,-1.8007150888442993,1.4668866395950317,-0.0017325635999441147,3.2506957054138184,0.2872128188610077,0.8153287768363953,-0.4978597164154053,0.2947942316532135,-0.02170439437031746,0.679146945476532,3.352522611618042,1.1532306671142578,0.07302050292491913,0.07539594918489456,0.0638076588511467,0.024700945243239403
