Step,Loss
0,16
1000000,15.768330335617065
2000000,9.657460188865661
3000000,8.764006042480469
4000000,7.437493789196014
5000000,6.69800369143486
6000000,6.220211970806122
7000000,6.175720465183258
8000000,6.057585072517395
9000000,5.945789539813996
10000000,5.883192992210388
11000000,5.8436976850032805
12000000,5.786031210422516
13000000,5.62654817700386
14000000,5.328926232457161
15000000,5.021012380719185
16000000,4.591346025466919
17000000,4.156650692224503
18000000,3.6179990410804748
19000000,3.1452573865652083
20000000,2.8348979234695433
21000000,2.476163274049759
22000000,2.278700757026672
23000000,1.9972699671983718
24000000,1.9025785982608796
25000000,1.694154566526413
26000000,1.5759480506181718
27000000,1.4458014756441115
28000000,1.3414619415998459
29000000,1.2878401756286622
30000000,1.2095198065042496
31000000,1.156668373942375
32000000,1.1221223920583725
33000000,1.0741494923830033
34000000,1.044868677854538
35000000,0.9987350881099701
36000000,0.9961735814809799
37000000,0.9597222864627838
38000000,0.9215237379074097
39000000,0.9162522584199906
40000000,0.8786353260278702
