Step,Loss
0,16
1000000,5.744950628280639
2000000,4.038921281695366
3000000,2.8410120397806167
4000000,1.4565061450004577
5000000,1.0180774211883545
6000000,0.8684199929237366
7000000,0.7662306278944016
8000000,0.6926588654518128
9000000,0.6420925796031952
10000000,0.6211401909589768
11000000,0.5925949007272721
12000000,0.5767270714044571
13000000,0.563928347826004
14000000,0.550921630859375
15000000,0.5396323472261428
16000000,0.5270472168922424
17000000,0.5219046473503113
18000000,0.5171085223555565
19000000,0.5108162254095078
20000000,0.5029324784874916
21000000,0.4987033262848854
22000000,0.49806409478187563
23000000,0.4914034575223923
24000000,0.49310709089040755
25000000,0.48710798025131224
26000000,0.482196544110775
27000000,0.4811741977930069
28000000,0.47984259128570556
29000000,0.47869516611099244
30000000,0.47643724977970126
31000000,0.474668475985527
32000000,0.4732517600059509
33000000,0.47474553883075715
34000000,0.4719272717833519
35000000,0.4686822220683098
36000000,0.4669583261013031
37000000,0.47143343538045884
38000000,0.4656634286046028
39000000,0.4689855635166168
40000000,0.4659546360373497
