Step,Loss
0,16
1000000,8.348352599143983
2000000,5.9393722951412204
3000000,6.091629886627198
4000000,6.669715332984924
5000000,5.836545637249946
6000000,4.8261368572711945
7000000,3.4859286934137343
8000000,2.726277506351471
9000000,2.1246382504701615
10000000,1.8246136456727982
11000000,1.4968541890382767
12000000,1.2394113928079604
13000000,1.0641983985900878
14000000,0.9803763538599014
15000000,0.9104610979557037
16000000,0.8875708162784577
17000000,0.8194074332714081
18000000,0.7948106795549392
19000000,0.7544011563062668
20000000,0.7407775163650513
21000000,0.7193684607744217
22000000,0.7243279278278351
23000000,0.7096349209547043
24000000,0.7015904128551483
25000000,0.684228053689003
26000000,0.6729716449975968
27000000,0.6719138830900192
28000000,0.6686098098754882
29000000,0.6642551422119141
30000000,0.6712431490421296
31000000,0.6665512174367905
32000000,0.6594907760620117
33000000,0.6597455233335495
34000000,0.6411948472261428
35000000,0.6470111161470413
36000000,0.6219324558973313
37000000,0.6231891930103302
38000000,0.6039389401674271
39000000,0.6068116247653961
40000000,0.6007536023855209
