time,kv,kR,kOmega
7.900000000000000355e-01,5.720945000648498535e-01,1.776039004325866699e-01,4.958653077483177185e-02
8.000000000000000444e-01,5.776130557060241699e-01,1.786947846412658691e-01,4.970071464776992798e-02
8.100000000000000533e-01,5.756745934486389160e-01,1.787297725677490234e-01,4.950047284364700317e-02
8.200000000000000622e-01,5.813649892807006836e-01,1.796944439411163330e-01,4.959882050752639771e-02
8.300000000000000711e-01,5.796889662742614746e-01,1.797111332416534424e-01,4.937356337904930115e-02
8.399999999999999689e-01,5.854704380035400391e-01,1.805185526609420776e-01,4.950330778956413269e-02
8.499999999999999778e-01,5.837033987045288086e-01,1.805065274238586426e-01,4.923762753605842590e-02
8.599999999999999867e-01,5.891526341438293457e-01,1.811817288398742676e-01,4.940816387534141541e-02
8.699999999999999956e-01,5.872290730476379395e-01,1.811149418354034424e-01,4.911249130964279175e-02
8.800000000000000044e-01,5.922455191612243652e-01,1.816930174827575684e-01,4.928345605731010437e-02
8.900000000000000133e-01,5.899951457977294922e-01,1.815420687198638916e-01,4.901484400033950806e-02
9.000000000000000222e-01,5.943979024887084961e-01,1.820032596588134766e-01,4.916919767856597900e-02
9.100000000000000311e-01,5.915548801422119141e-01,1.817613840103149414e-01,4.891653731465339661e-02
9.200000000000000400e-01,5.954071283340454102e-01,1.821151822805404663e-01,4.905880615115165710e-02
9.300000000000000488e-01,5.920856595039367676e-01,1.818026155233383179e-01,4.880669340491294861e-02
9.400000000000000577e-01,5.952306985855102539e-01,1.820222884416580200e-01,4.894103482365608215e-02
9.500000000000000666e-01,5.916008949279785156e-01,1.816525906324386597e-01,4.869138821959495544e-02
9.599999999999999645e-01,5.943365097045898438e-01,1.817618608474731445e-01,4.882419481873512268e-02
9.699999999999999734e-01,5.901710987091064453e-01,1.812978684902191162e-01,4.858758673071861267e-02
9.799999999999999822e-01,5.925993323326110840e-01,1.812971234321594238e-01,4.872275888919830322e-02
9.899999999999999911e-01,5.881357192993164062e-01,1.807495355606079102e-01,4.849843308329582214e-02
1.000000000000000000e+00,5.903000831604003906e-01,1.806477904319763184e-01,4.863492771983146667e-02
1.010000000000000009e+00,5.855712294578552246e-01,1.799998730421066284e-01,4.843180626630783081e-02
1.020000000000000018e+00,5.878317356109619141e-01,1.798260211944580078e-01,4.857083037495613098e-02
1.030000000000000027e+00,5.827280879020690918e-01,1.790792047977447510e-01,4.839914664626121521e-02
1.040000000000000036e+00,5.851116776466369629e-01,1.788492351770401001e-01,4.852262511849403381e-02
1.050000000000000044e+00,5.799643397331237793e-01,1.780174076557159424e-01,4.836040362715721130e-02
1.060000000000000053e+00,5.824393033981323242e-01,1.777330785989761353e-01,4.848756641149520874e-02
1.070000000000000062e+00,5.775039196014404297e-01,1.768959164619445801e-01,4.835148528218269348e-02
1.080000000000000071e+00,5.802235007286071777e-01,1.765673905611038208e-01,4.850938916206359863e-02
1.090000000000000080e+00,5.764848589897155762e-01,1.757716834545135498e-01,4.837588220834732056e-02
1.100000000000000089e+00,5.793516039848327637e-01,1.754137575626373291e-01,4.855518043041229248e-02
1.110000000000000098e+00,5.754146575927734375e-01,1.745825558900833130e-01,4.840205237269401550e-02
1.120000000000000107e+00,5.785171389579772949e-01,1.742649823427200317e-01,4.859217628836631775e-02
1.130000000000000115e+00,5.753066539764404297e-01,1.736429482698440552e-01,4.851905256509780884e-02
1.140000000000000124e+00,5.790097117424011230e-01,1.733610630035400391e-01,4.867541790008544922e-02
1.150000000000000133e+00,5.778701305389404297e-01,1.729085445404052734e-01,4.869420453906059265e-02
1.159999999999999920e+00,5.822576284408569336e-01,1.728180795907974243e-01,4.879341274499893188e-02
1.169999999999999929e+00,5.820524692535400391e-01,1.725938022136688232e-01,4.885135218501091003e-02
1.179999999999999938e+00,5.864108800888061523e-01,1.726785451173782349e-01,4.892633110284805298e-02
1.189999999999999947e+00,5.861544609069824219e-01,1.726087331771850586e-01,4.907387495040893555e-02
1.199999999999999956e+00,5.904347896575927734e-01,1.728804707527160645e-01,4.916463419795036316e-02
1.209999999999999964e+00,5.898485779762268066e-01,1.728532165288925171e-01,4.933840781450271606e-02
1.219999999999999973e+00,5.939703583717346191e-01,1.733063757419586182e-01,4.938348382711410522e-02
1.229999999999999982e+00,5.933219194412231445e-01,1.733108758926391602e-01,4.954646900296211243e-02
1.239999999999999991e+00,5.966987609863281250e-01,1.738508045673370361e-01,4.957038164138793945e-02
1.250000000000000000e+00,5.961794257164001465e-01,1.739184409379959106e-01,4.970410466194152832e-02
1.260000000000000009e+00,5.992939472198486328e-01,1.744907349348068237e-01,4.966824129223823547e-02
1.270000000000000018e+00,5.990171432495117188e-01,1.746034026145935059e-01,4.973386973142623901e-02
1.280000000000000027e+00,6.019763350486755371e-01,1.751130074262619019e-01,4.966083914041519165e-02
1.290000000000000036e+00,6.012625694274902344e-01,1.751596927642822266e-01,4.971668869256973267e-02
1.300000000000000044e+00,6.035162210464477539e-01,1.755150556564331055e-01,4.964730143547058105e-02
1.310000000000000053e+00,6.023977994918823242e-01,1.755126714706420898e-01,4.972133040428161621e-02
1.320000000000000062e+00,6.038348078727722168e-01,1.757099628448486328e-01,4.964953660964965820e-02
1.330000000000000071e+00,6.022464036941528320e-01,1.756409108638763428e-01,4.975830391049385071e-02
1.340000000000000080e+00,6.029732823371887207e-01,1.757735610008239746e-01,4.966526851058006287e-02
1.350000000000000089e+00,6.008198261260986328e-01,1.755894124507904053e-01,4.980526491999626160e-02
1.360000000000000098e+00,6.010122895240783691e-01,1.756491959095001221e-01,4.965827986598014832e-02
1.370000000000000107e+00,5.987015962600708008e-01,1.753912419080734253e-01,4.981867596507072449e-02
1.380000000000000115e+00,5.983110666275024414e-01,1.753739118576049805e-01,4.963666945695877075e-02
1.390000000000000124e+00,5.956706404685974121e-01,1.750794053077697754e-01,4.979915544390678406e-02
1.400000000000000133e+00,5.949131250381469727e-01,1.751104891300201416e-01,4.955144599080085754e-02
1.409999999999999920e+00,5.920277833938598633e-01,1.748529672622680664e-01,4.969410970807075500e-02
1.419999999999999929e+00,5.909917354583740234e-01,1.748955398797988892e-01,4.943568632006645203e-02
1.429999999999999938e+00,5.879080295562744141e-01,1.746158152818679810e-01,4.956952109932899475e-02
1.439999999999999947e+00,5.868122577667236328e-01,1.746662408113479614e-01,4.927578568458557129e-02
1.449999999999999956e+00,5.836709141731262207e-01,1.744185388088226318e-01,4.937287047505378723e-02
1.459999999999999964e+00,5.825489163398742676e-01,1.744511425495147705e-01,4.904975369572639465e-02
1.469999999999999973e+00,5.794626474380493164e-01,1.742227077484130859e-01,4.911739751696586609e-02
1.479999999999999982e+00,5.783321261405944824e-01,1.742535829544067383e-01,4.877233132719993591e-02
1.489999999999999991e+00,5.752899050712585449e-01,1.739847362041473389e-01,4.882888123393058777e-02
1.500000000000000000e+00,5.751599073410034180e-01,1.742125153541564941e-01,4.846462234854698181e-02
1.510000000000000009e+00,5.725221037864685059e-01,1.739698648452758789e-01,4.851437360048294067e-02
1.520000000000000018e+00,5.730198621749877930e-01,1.744173765182495117e-01,4.812567681074142456e-02
1.530000000000000027e+00,5.706675648689270020e-01,1.742037236690521240e-01,4.815515503287315369e-02
1.540000000000000036e+00,5.711369514465332031e-01,1.748423874378204346e-01,4.774756357073783875e-02
1.550000000000000044e+00,5.691754817962646484e-01,1.746513247489929199e-01,4.774040356278419495e-02
1.560000000000000053e+00,5.707432627677917480e-01,1.754307448863983154e-01,4.732425138354301453e-02
1.570000000000000062e+00,5.691114068031311035e-01,1.751981675624847412e-01,4.728390276432037354e-02
1.580000000000000071e+00,5.708520412445068359e-01,1.759673357009887695e-01,4.686517640948295593e-02
1.590000000000000080e+00,5.691296458244323730e-01,1.756556630134582520e-01,4.684811085462570190e-02
1.600000000000000089e+00,5.707025527954101562e-01,1.765301674604415894e-01,4.653134196996688843e-02
1.610000000000000098e+00,5.688746571540832520e-01,1.761996746063232422e-01,4.653535410761833191e-02
1.620000000000000107e+00,5.713261365890502930e-01,1.771470606327056885e-01,4.629763215780258179e-02
1.630000000000000115e+00,5.707115530967712402e-01,1.769924759864807129e-01,4.630355909466743469e-02
1.640000000000000124e+00,5.748056769371032715e-01,1.781820803880691528e-01,4.610772803425788879e-02
1.650000000000000133e+00,5.746715664863586426e-01,1.779804378747940063e-01,4.615616798400878906e-02
1.660000000000000142e+00,5.797482132911682129e-01,1.792660206556320190e-01,4.600610956549644470e-02
1.669999999999999929e+00,5.790061950683593750e-01,1.789660453796386719e-01,4.612867906689643860e-02
1.679999999999999938e+00,5.834690332412719727e-01,1.801969558000564575e-01,4.596612975001335144e-02
1.689999999999999947e+00,5.825456380844116211e-01,1.799052357673645020e-01,4.608708247542381287e-02
1.699999999999999956e+00,5.866200327873229980e-01,1.809971481561660767e-01,4.597174003720283508e-02
1.709999999999999964e+00,5.857330560684204102e-01,1.806488633155822754e-01,4.610067233443260193e-02
1.719999999999999973e+00,5.895435214042663574e-01,1.817469149827957153e-01,4.596274718642234802e-02
1.729999999999999982e+00,5.886337161064147949e-01,1.814600080251693726e-01,4.609037563204765320e-02
1.739999999999999991e+00,5.922037363052368164e-01,1.825405806303024292e-01,4.595078900456428528e-02
1.750000000000000000e+00,5.916249752044677734e-01,1.823802888393402100e-01,4.607103392481803894e-02
1.760000000000000009e+00,5.944745540618896484e-01,1.833299398422241211e-01,4.591571167111396790e-02
1.770000000000000018e+00,5.934841632843017578e-01,1.831258386373519897e-01,4.602291062474250793e-02
1.780000000000000027e+00,5.958573818206787109e-01,1.839754283428192139e-01,4.585762321949005127e-02
1.790000000000000036e+00,5.946618318557739258e-01,1.836766600608825684e-01,4.598365351557731628e-02
1.800000000000000044e+00,5.967347621917724609e-01,1.844271272420883179e-01,4.581303521990776062e-02
1.810000000000000053e+00,5.951904058456420898e-01,1.840502917766571045e-01,4.595583304762840271e-02
1.820000000000000062e+00,5.967229008674621582e-01,1.846918761730194092e-01,4.580202698707580566e-02
1.830000000000000071e+00,5.949114561080932617e-01,1.842225939035415649e-01,4.596043750643730164e-02
1.840000000000000080e+00,5.964298844337463379e-01,1.848169714212417603e-01,4.579142853617668152e-02
1.850000000000000089e+00,5.944007039070129395e-01,1.842639446258544922e-01,4.595797881484031677e-02
1.860000000000000098e+00,5.958465933799743652e-01,1.848052591085433960e-01,4.577483981847763062e-02
1.870000000000000107e+00,5.935289263725280762e-01,1.841501891613006592e-01,4.594793915748596191e-02
1.880000000000000115e+00,5.947637557983398438e-01,1.846026331186294556e-01,4.579022899270057678e-02
1.890000000000000124e+00,5.920242667198181152e-01,1.838235408067703247e-01,4.596216604113578796e-02
1.900000000000000133e+00,5.928097963333129883e-01,1.842004209756851196e-01,4.580759629607200623e-02
1.910000000000000142e+00,5.896871685981750488e-01,1.832835227251052856e-01,4.598223417997360229e-02
1.919999999999999929e+00,5.902387499809265137e-01,1.835737377405166626e-01,4.581576213240623474e-02
1.929999999999999938e+00,5.868244767189025879e-01,1.825164258480072021e-01,4.599167034029960632e-02
1.939999999999999947e+00,5.870822668075561523e-01,1.827436238527297974e-01,4.581708833575248718e-02
1.949999999999999956e+00,5.832991003990173340e-01,1.815419942140579224e-01,4.598645865917205811e-02
1.959999999999999964e+00,5.833660960197448730e-01,1.817589998245239258e-01,4.580767452716827393e-02
1.969999999999999973e+00,5.790034532546997070e-01,1.803434044122695923e-01,4.599482938647270203e-02
1.979999999999999982e+00,5.793465375900268555e-01,1.805338114500045776e-01,4.583673179149627686e-02
1.989999999999999991e+00,5.750845074653625488e-01,1.790023744106292725e-01,4.602804407477378845e-02
2.000000000000000000e+00,5.765938758850097656e-01,1.794833242893218994e-01,4.580391943454742432e-02
2.010000000000000231e+00,5.727861523628234863e-01,1.780268400907516479e-01,4.597397521138191223e-02
2.020000000000000018e+00,5.763484835624694824e-01,1.788967847824096680e-01,4.571645706892013550e-02
2.030000000000000249e+00,5.737114548683166504e-01,1.776098757982254028e-01,4.583239182829856873e-02
2.040000000000000036e+00,5.793974399566650391e-01,1.786487549543380737e-01,4.550666734576225281e-02
2.049999999999999822e+00,5.778130292892456055e-01,1.773700118064880371e-01,4.562384635210037231e-02
2.060000000000000053e+00,5.842628479003906250e-01,1.787983328104019165e-01,4.529211670160293579e-02
2.069999999999999840e+00,5.834906101226806641e-01,1.780717223882675171e-01,4.541738331317901611e-02
2.080000000000000071e+00,5.909991860389709473e-01,1.800329536199569702e-01,4.510302096605300903e-02
2.089999999999999858e+00,5.908135175704956055e-01,1.796214580535888672e-01,4.534421488642692566e-02
2.100000000000000089e+00,5.978692173957824707e-01,1.815832704305648804e-01,4.511671140789985657e-02
2.109999999999999876e+00,5.976761579513549805e-01,1.812379360198974609e-01,4.541014134883880615e-02
2.120000000000000107e+00,6.036887168884277344e-01,1.830753833055496216e-01,4.514293000102043152e-02
2.129999999999999893e+00,6.036202907562255859e-01,1.828523129224777222e-01,4.545670002698898315e-02
2.140000000000000124e+00,6.093793511390686035e-01,1.846869736909866333e-01,4.518881812691688538e-02
2.149999999999999911e+00,6.097017526626586914e-01,1.845921128988265991e-01,4.552932456135749817e-02
2.160000000000000142e+00,6.148245334625244141e-01,1.862351894378662109e-01,4.523643851280212402e-02
2.169999999999999929e+00,6.154091954231262207e-01,1.862303167581558228e-01,4.556816816329956055e-02
2.180000000000000160e+00,6.199082732200622559e-01,1.876015365123748779e-01,4.526924714446067810e-02
2.189999999999999947e+00,6.205629110336303711e-01,1.875877529382705688e-01,4.560988768935203552e-02
2.200000000000000178e+00,6.243469715118408203e-01,1.887430697679519653e-01,4.530062898993492126e-02
2.209999999999999964e+00,6.248515844345092773e-01,1.886926591396331787e-01,4.564281180500984192e-02
2.220000000000000195e+00,6.282189488410949707e-01,1.897089630365371704e-01,4.531499370932579041e-02
2.229999999999999982e+00,6.285959482192993164e-01,1.896125227212905884e-01,4.564828798174858093e-02
2.240000000000000213e+00,6.316903233528137207e-01,1.904997080564498901e-01,4.529999941587448120e-02
2.250000000000000000e+00,6.317642927169799805e-01,1.903564482927322388e-01,4.562688246369361877e-02
2.260000000000000231e+00,6.343168020248413086e-01,1.910891085863113403e-01,4.528467357158660889e-02
2.270000000000000018e+00,6.340419054031372070e-01,1.908868998289108276e-01,4.562289640307426453e-02
2.280000000000000249e+00,6.361028552055358887e-01,1.914828270673751831e-01,4.531159996986389160e-02
2.290000000000000036e+00,6.355558037757873535e-01,1.912160813808441162e-01,4.566709697246551514e-02
2.300000000000000266e+00,6.371413469314575195e-01,1.916925013065338135e-01,4.539913311600685120e-02
2.310000000000000053e+00,6.363154649734497070e-01,1.913518458604812622e-01,4.576881974935531616e-02
2.319999999999999840e+00,6.374745368957519531e-01,1.917296499013900757e-01,4.553084820508956909e-02
2.330000000000000071e+00,6.363502144813537598e-01,1.912992000579833984e-01,4.590081796050071716e-02
2.339999999999999858e+00,6.371440887451171875e-01,1.915917545557022095e-01,4.568082839250564575e-02
2.350000000000000089e+00,6.356595754623413086e-01,1.910549700260162354e-01,4.605600982904434204e-02
2.359999999999999876e+00,6.361090540885925293e-01,1.912681013345718384e-01,4.583768546581268311e-02
2.370000000000000107e+00,6.343733072280883789e-01,1.906270682811737061e-01,4.620993882417678833e-02
2.379999999999999893e+00,6.344578266143798828e-01,1.907644420862197876e-01,4.597841575741767883e-02
2.390000000000000124e+00,6.320608258247375488e-01,1.899551749229431152e-01,4.636945575475692749e-02
2.399999999999999911e+00,6.316900849342346191e-01,1.900077909231185913e-01,4.612114652991294861e-02
2.410000000000000142e+00,6.287557482719421387e-01,1.890787184238433838e-01,4.647959396243095398e-02
2.419999999999999929e+00,6.279835700988769531e-01,1.890173852443695068e-01,4.621531441807746887e-02
2.430000000000000160e+00,6.242075562477111816e-01,1.878763437271118164e-01,4.659744724631309509e-02
2.439999999999999947e+00,6.229557394981384277e-01,1.877398192882537842e-01,4.628876969218254089e-02
2.450000000000000178e+00,6.190269589424133301e-01,1.864080280065536499e-01,4.667765647172927856e-02
2.459999999999999964e+00,6.175090670585632324e-01,1.862184107303619385e-01,4.635588452219963074e-02
2.470000000000000195e+00,6.133044362068176270e-01,1.847306787967681885e-01,4.673153907060623169e-02
2.479999999999999982e+00,6.114971637725830078e-01,1.844990104436874390e-01,4.637718200683593750e-02
2.490000000000000213e+00,6.075100302696228027e-01,1.830738186836242676e-01,4.678851366043090820e-02
2.500000000000000000e+00,6.060976386070251465e-01,1.829628646373748779e-01,4.640306532382965088e-02
2.510000000000000231e+00,6.020915508270263672e-01,1.814814209938049316e-01,4.669971391558647156e-02
2.520000000000000018e+00,6.013216972351074219e-01,1.816219687461853027e-01,4.631250724196434021e-02
2.530000000000000249e+00,5.983975529670715332e-01,1.803832948207855225e-01,4.657828435301780701e-02
2.540000000000000036e+00,5.984634757041931152e-01,1.807608604431152344e-01,4.616948962211608887e-02
2.550000000000000266e+00,5.958009958267211914e-01,1.796779334545135498e-01,4.648245498538017273e-02
2.560000000000000053e+00,5.964163541793823242e-01,1.803831756114959717e-01,4.620879516005516052e-02
2.569999999999999840e+00,5.937282443046569824e-01,1.795261502265930176e-01,4.657399654388427734e-02
2.580000000000000071e+00,5.956479907035827637e-01,1.802077889442443848e-01,4.629301279783248901e-02
2.589999999999999858e+00,5.944429636001586914e-01,1.795629262924194336e-01,4.655536636710166931e-02
2.600000000000000089e+00,5.964118838310241699e-01,1.802932471036911011e-01,4.626269638538360596e-02
2.609999999999999876e+00,5.960983037948608398e-01,1.796379685401916504e-01,4.652909189462661743e-02
2.620000000000000107e+00,5.981541275978088379e-01,1.806795746088027954e-01,4.616846144199371338e-02
2.629999999999999893e+00,5.985356569290161133e-01,1.801923811435699463e-01,4.643675684928894043e-02
2.640000000000000124e+00,6.012510061264038086e-01,1.813740432262420654e-01,4.599970206618309021e-02
2.649999999999999911e+00,6.027824282646179199e-01,1.810760498046875000e-01,4.628087207674980164e-02
2.660000000000000142e+00,6.068562269210815430e-01,1.827057152986526489e-01,4.576915875077247620e-02
2.669999999999999929e+00,6.083201169967651367e-01,1.826210170984268188e-01,4.603054746985435486e-02
2.680000000000000160e+00,6.120856404304504395e-01,1.841850131750106812e-01,4.550846666097640991e-02
2.689999999999999947e+00,6.131466031074523926e-01,1.841078549623489380e-01,4.576763510704040527e-02
2.700000000000000178e+00,6.161389350891113281e-01,1.854398846626281738e-01,4.527322575449943542e-02
2.709999999999999964e+00,6.167226433753967285e-01,1.853304207324981689e-01,4.551761224865913391e-02
2.720000000000000195e+00,6.186456680297851562e-01,1.863640248775482178e-01,4.506843909621238708e-02
2.729999999999999982e+00,6.186907887458801270e-01,1.861653327941894531e-01,4.531829804182052612e-02
2.740000000000000213e+00,6.199004650115966797e-01,1.870181709527969360e-01,4.489611461758613586e-02
2.750000000000000000e+00,6.193070411682128906e-01,1.867133975028991699e-01,4.515437036752700806e-02
2.760000000000000231e+00,6.199302077293395996e-01,1.874648481607437134e-01,4.475092515349388123e-02
2.770000000000000018e+00,6.186757087707519531e-01,1.870648264884948730e-01,4.500531032681465149e-02
2.780000000000000249e+00,6.189449429512023926e-01,1.876978725194931030e-01,4.466419294476509094e-02
2.790000000000000036e+00,6.171656250953674316e-01,1.871980577707290649e-01,4.492130130529403687e-02
2.800000000000000266e+00,6.169177889823913574e-01,1.877185553312301636e-01,4.460755735635757446e-02
2.810000000000000053e+00,6.146954298019409180e-01,1.871437579393386841e-01,4.485850781202316284e-02
2.819999999999999840e+00,6.139746904373168945e-01,1.875957995653152466e-01,4.458332061767578125e-02
2.830000000000000071e+00,6.113337874412536621e-01,1.869362890720367432e-01,4.483394697308540344e-02
2.839999999999999858e+00,6.103048324584960938e-01,1.872644573450088501e-01,4.463542252779006958e-02
2.850000000000000089e+00,6.072628498077392578e-01,1.865403652191162109e-01,4.486320912837982178e-02
2.859999999999999876e+00,6.061228513717651367e-01,1.867828518152236938e-01,4.471105337142944336e-02
2.870000000000000107e+00,6.026199460029602051e-01,1.859280169010162354e-01,4.494316130876541138e-02
2.879999999999999893e+00,6.016594767570495605e-01,1.861490309238433838e-01,4.480330646038055420e-02
2.890000000000000124e+00,5.977759361267089844e-01,1.851434707641601562e-01,4.505208507180213928e-02
2.899999999999999911e+00,5.971269011497497559e-01,1.853192150592803955e-01,4.492675513029098511e-02
