Step,GradientNorm
49,8.777326311646899
99,6.988347542363116
149,16.336803319735246
199,6.5663226382439
249,11.74474495513152
299,9.394072960941568
349,8.67044837410527
399,9.758399301837215
449,9.076622440792272
499,8.144571517409455
549,10.22051812508117
599,5.63862112810468
649,8.207862190564997
699,6.39270759261071
749,4.07344663399741
799,4.579514729169718
849,3.8726526419452774
899,1.6793216655678873
949,0.9493400746003269
999,1.5605753251844785
1049,2.6778989064594585
1099,2.025735554134268
1149,1.636383170371277
1199,1.8967947053395466
1249,2.9114976043821406
1299,2.8230994830526916
1349,2.1460163400671486
1399,1.9560757624058476
1449,2.1015206715097796
1499,2.122428280875832
1549,1.986726602192034
1599,1.50065420282367
1649,1.042656815797202
1699,0.7596457040964988
1749,0.6269625942117807
1799,0.5120523331990512
1849,0.5169167501308107
1899,0.5591733150415855
1949,0.6257998541460309
1999,0.7879120837849796
2049,0.6238787020144442
2099,2.2536856035137136
2149,1.791426602131669
2199,0.7700628859888238
2249,0.3393722343160296
2299,1.2402056912672679
2349,1.7624745351060063
2399,1.1656752474784366
2449,0.6479687315749391
2499,0.6549561947019719
2549,0.8794751401325211
2599,0.9773013782517708
2649,0.7374505344934348
2699,0.4945509634513911
2749,0.3344945009640899
2799,0.27019778524293425
2849,0.39365208164561105
2899,0.30707056201490923
2949,0.251508923827268
2999,0.25543233702882895
3049,2.178426360025814
3099,0.561572941925095
3149,0.7376160606152399
3199,0.6167772744507182
3249,0.8210658252966959
3299,0.39255812664394646
3349,0.4994812167013384
3399,0.27606003522689104
3449,0.43048454405614245
3499,0.2988466067028513
3549,0.2545297098593078
3599,0.23870009154916413
3649,0.27186505468115535
3699,0.3389468978228352
3749,0.3553730786903422
3799,0.2547443750611563
3849,0.35102125934672046
3899,0.40263404456191526
3949,0.3023909001354588
3999,0.2558320804809375
4049,1.5705811521202677
4099,0.6419061635430361
4149,0.5183033303474103
4199,0.24612498386052115
4249,0.3760568358517055
4299,0.6225335499050049
4349,0.5094172982170169
4399,0.28384002615931064
4449,0.3104356552284736
4499,0.31425698526362705
4549,0.3469085511061521
4599,0.2211572929668592
4649,0.15970158560042122
4699,0.27461822069058145
4749,0.2936526934393619
4799,0.27159788974849863
4849,0.1750940365148601
4899,0.13204362324878416
4949,0.2065986725237093
4999,0.2320486453122691
5049,1.5875355156376474
5099,0.6298786578512389
5149,0.3830783594146431
5199,0.21636909143849048
5249,0.40047949475983513
5299,0.7802070192713213
5349,0.43007985936937937
5399,0.3364806380280999
5449,0.44560515059379174
5499,0.36072904905752917
5549,0.241136461138505
5599,0.1577134540298373
5649,0.2390280641066307
5699,0.30351158149719676
5749,0.3214455352500828
5799,0.2842528810047202
5849,0.15288907420300066
5899,0.21314428399573465
5949,0.26678065783230825
5999,0.18299122592066216
6049,1.415349068949734
6099,0.5452570602974809
6149,0.3387184397457405
6199,0.23590323631564508
6249,0.5455341747098915
6299,0.7528553241429005
6349,0.4381701899391852
6399,0.25548525152686824
6449,0.4895908237381582
6499,0.49744810046714394
6549,0.37310949779910085
6599,0.24293330759315343
6649,0.1397760739770601
6699,0.2483613219173332
6749,0.3482812798323185
6799,0.29492594360596125
6849,0.22171130097070985
6899,0.11452202698269938
6949,0.20585748278284036
6999,0.19417849317116775
7049,1.241258188504992
7099,0.4649964406466491
7149,0.21443375998708925
7199,0.20237252022805957
7249,0.4567427234273972
7299,0.8327515365152255
7349,0.44212620628657806
7399,0.2812471108705182
7449,0.4116012671346389
7499,0.38316137542692275
7549,0.3088800122918737
7599,0.2517458198077089
7649,0.14878875192814495
7699,0.11243830796335617
7749,0.23387987398850996
7799,0.2455160980064356
7849,0.28195771002073283
7899,0.17486538296131032
7949,0.09261069280450292
7999,0.14330571316963867
8049,1.1606813292205669
8099,0.22558635231376659
8149,0.15299658947109523
8199,0.2075989899360665
8249,0.46409486281341245
8299,0.7846291404115173
8349,0.47971789011287275
8399,0.2456129096520955
8449,0.4662174771083656
8499,0.4619440349218832
8549,0.34513191476499067
8599,0.22901280980549138
8649,0.23921054348490017
8699,0.31822304042314536
8749,0.23661852979915612
8799,0.21581485586996074
8849,0.1969465546872143
8899,0.19045042948767146
8949,0.19914518737066028
8999,0.1638011555450686
9049,0.8970604007414944
9099,0.3244930640700405
9149,0.2306266868107233
9199,0.22914814832800764
9249,0.5222759760626177
9299,0.6790809992590754
9349,0.2994580682229709
9399,0.43336858759565616
9449,0.5192199060032718
9499,0.32333691640701634
9549,0.1984988985727694
9599,0.25053726577108754
9649,0.28472768391962827
9699,0.22612282829193417
9749,0.08357976066471488
9799,0.13704515410132237
9849,0.22475915748529177
9899,0.18977023354374245
9949,0.12144972500828921
9999,0.09361571386643616
10049,0.43931502532366046
10099,0.29597992062970774
10149,0.18739541054983894
10199,0.2787150025093677
10249,0.17738831711120842
10299,0.3480776245327582
10349,0.17974712853695207
10399,0.1881227359659737
10449,0.2765261869336966
10499,0.13948694886287077
10549,0.11318386213556646
10599,0.22365363028043833
10649,0.16504185042608743
10699,0.09103791853706164
10749,0.13761132722995795
10799,0.1689108946082369
10849,0.12900078113358796
10899,0.09786316806858664
10949,0.12447359160227166
10999,0.14815150716021877
11049,0.4087579274775286
11099,0.1971866493687272
11149,0.28928709859342866
11199,0.32089295862453204
11249,0.18542147644744023
11299,0.4463865048968547
11349,0.24230955796177092
11399,0.16642816974794442
11449,0.20630749742449772
11499,0.1088621014960583
11549,0.0752559640826431
11599,0.06006605040859585
11649,0.16107530286917857
11699,0.20043259745585898
11749,0.12158297143049314
11799,0.1607481909470593
11849,0.22388889396212755
11899,0.11598654240919493
11949,0.057624808336058916
11999,0.13583701129985526
12049,0.4620735571405737
12099,0.21439864721221535
12149,0.24527283877129877
12199,0.23502177710825578
12249,0.13383092778703246
12299,0.32352721249314587
12349,0.15286698672650803
12399,0.09514480638456949
12449,0.16243144443942223
12499,0.12035006127242794
12549,0.058673273382699384
12599,0.15910137589627257
12649,0.0992785080629167
12699,0.10234411872744867
12749,0.08880050189190813
12799,0.045671413975527334
12849,0.04764278207981322
12899,0.0868251755423103
12949,0.06112615702975602
12999,0.05132452552647076
13049,0.35486063765095727
13099,0.21127498857440657
13149,0.20611186595504657
13199,0.1771620002640153
13249,0.46305573566266045
13299,0.6211876792526608
13349,0.12880647133041628
13399,0.5615112666433882
13449,0.4690709342030977
13499,0.0832057248288932
13549,0.3528695061518342
13599,0.4156034676598702
13649,0.2169946899205741
13699,0.20596702695593527
13749,0.47479451692235386
13799,0.27041588329988964
13849,0.20410101292680774
13899,0.39996147465049453
13949,0.24041070399067205
13999,0.07899443221163026
14049,0.8083845154288047
14099,0.10549071311851019
14149,0.1160338802148311
14199,0.1376269766643104
14249,0.8099661913445019
14299,0.38167767083635357
14349,0.5508002798899685
14399,0.8261291693654228
14449,0.32601052321278445
14499,0.46247661378488475
14549,0.7369273895578249
14599,0.3280064674474333
14649,0.3936863590031163
14699,0.6865965327119306
14749,0.31734392503415654
14799,0.37061287305918833
14849,0.6742638212867786
14899,0.3816249661480478
14949,0.3481155026747168
14999,0.639607806159747
15049,0.9306096948639594
15099,0.6896227565831415
15149,0.6021932589530958
15199,0.40999862274507476
15249,0.4757343297816393
15299,0.5843994408746044
15349,0.8689710132000456
15399,0.42535174889483596
15449,0.3880817111316122
15499,0.8707331959256153
15549,0.5900152044847264
15599,0.2896902791821795
15649,0.9872907859192155
15699,0.6262305457041519
15749,0.2570025092471927
15799,0.8375528508437521
15849,0.7430112563562532
15899,0.08980936597856133
15949,0.8385764766837663
15999,0.7091830916083425
16049,0.3438599257601919
16099,0.5652392396890717
16149,0.26826077409578103
16199,0.11567754469773511
16249,0.09958086842831557
16299,0.2662448095133081
16349,0.3146410814603741
16399,0.1791752269560255
16449,0.155872818945211
16499,0.43915086114432317
16549,0.29569064138653794
16599,0.30101266962457335
16649,0.5205045215977291
16699,0.24701500215269206
16749,0.2602756933690667
16799,0.5480482931941576
16849,0.28148736455968126
16899,0.2738722404972732
16949,0.4733621185162843
16999,0.2655599646662655
17049,1.028646388904723
17099,0.1651617508003486
17149,0.33347106117835523
17199,0.42126379999347613
