Step,Loss
0,8.2
1024000,8.146999263763428
2048000,5.848370635509491
3072000,5.94881043434143
4096000,6.470292937755585
5120000,6.283321842551231
6144000,5.1610107809305195
7168000,4.081834951043129
8192000,3.010681802034378
9216000,2.3047861635684965
10240000,2.292817750573158
11264000,1.8663275599479676
12288000,1.3897284507751464
13312000,1.1377639919519424
14336000,0.9563997030258179
15360000,0.9099062860012055
16384000,0.8491947293281555
17408000,0.8144013196229934
18432000,0.796707546710968
19456000,0.7704969376325608
20480000,0.744163766503334
21504000,0.7414434552192688
22528000,0.7056862354278565
23552000,0.6828014492988587
24576000,0.6803062230348587
25600000,0.685662892460823
