Step,Loss
0,8.2
1024000,8.178842663764954
2048000,5.782831192016602
3072000,5.256102079153061
4096000,5.0685171574354175
5120000,4.99094999730587
6144000,4.98572324514389
7168000,4.914038115739823
8192000,4.932627630233765
9216000,4.898985266685486
10240000,4.938338315486908
11264000,4.933412331342697
12288000,4.984712144732475
13312000,4.925873965024948
14336000,5.0040591806173325
15360000,5.008159095048905
16384000,4.9947936773300174
17408000,4.9991825193166735
18432000,4.993638184666634
19456000,5.016174772381783
20480000,5.060462486743927
21504000,5.02818973660469
22528000,4.947494471073151
23552000,4.951773479580879
24576000,4.956301209330559
25600000,4.911602425575256
