time,px,py,pz,px_ref,py_ref,pz_ref,velocity
0.0,-1.1932695645492057e-05,-1.3795355729585941e-05,0.04002757523068235,0.0,0.0,1.2000000476837158,1.1134018437167743e-06
0.0,-1.195202240946807e-05,-1.3787827012737423e-05,0.04002759206000967,0.0,0.0,1.2000000476837158,1.0913464083823558e-06
0.14000000000000057,-1.1958648882178847e-05,-1.3784689025470281e-05,0.04002759776631368,0.0,0.0,1.2000000476837158,1.0619125773729532e-06
0.14399999999999835,-1.2015522604446605e-05,-1.3772776886051753e-05,0.04002764808576288,0.0,0.0,1.2000000476837158,1.0246939351956939e-06
0.19200000000000017,-1.2069113933637738e-05,-1.3782434989896062e-05,0.04002769597448491,0.0,0.0,1.2000000476837158,9.850244579007748e-07
0.19599999999999795,-1.210071686566833e-05,-1.377125228007311e-05,0.04002772314166611,0.0,0.0,1.2000000476837158,1.1126632158566144e-06
0.19599999999999795,-1.2106475748656416e-05,-1.3774034102186789e-05,0.04002772844751708,0.0,0.0,1.2000000476837158,1.033179895090513e-06
0.2079999999999984,-1.211252015289479e-05,-1.3773500733970327e-05,0.04002773375300038,0.0,0.0,1.2000000476837158,9.8928559283399e-07
0.21600000000000108,-1.2118516277816964e-05,-1.3772225917787991e-05,0.04002773900625919,0.0,0.0,1.2000000476837158,9.813657514842185e-07
0.2680000000000007,-1.215441296323734e-05,-1.3772703266398532e-05,0.040027770778129905,0.0,0.0,1.2000000476837158,9.93576421993132e-07
0.2680000000000007,-1.215441296323734e-05,-1.3772703266398532e-05,0.040027770778129905,0.0,0.0,1.2000000476837158,9.93576421993132e-07
0.2759999999999998,-1.2166512034484316e-05,-1.3772032307551435e-05,0.040027781288274944,0.0,0.0,1.2000000476837158,1.0062850469252933e-06
0.2839999999999989,-1.2166512034484316e-05,-1.3772032307551435e-05,0.040027781288274944,0.0,0.0,1.2000000476837158,1.0062850469252933e-06
0.31599999999999895,-1.217914880443612e-05,-1.3767163689698866e-05,0.040027792027056926,0.0,0.0,1.2000000476837158,1.0208541225592212e-06
0.31599999999999895,-1.2198116884537464e-05,-1.3754547860426988e-05,0.04002780813731222,0.0,0.0,1.2000000476837158,1.0992597331505029e-06
0.31599999999999895,-1.2198116884537464e-05,-1.3754547860426988e-05,0.04002780813731222,0.0,0.0,1.2000000476837158,1.0992597331505029e-06
0.3879999999999981,-1.2204566831109865e-05,-1.3750638228208075e-05,0.04002781366109646,0.0,0.0,1.2000000476837158,1.0365554309254558e-06
0.39199999999999946,-1.2204566831109865e-05,-1.3750638228208075e-05,0.04002781366109646,0.0,0.0,1.2000000476837158,1.0365554309254558e-06
0.3999999999999986,-1.2258499790330477e-05,-1.3760031687506775e-05,0.04002786191909293,0.0,0.0,1.2000000476837158,9.590600811722825e-07
0.40800000000000125,-1.2264144592765048e-05,-1.376110836731251e-05,0.0400278670471935,0.0,0.0,1.2000000476837158,9.364215624216005e-07
0.4920000000000009,-1.2310595228718288e-05,-1.3763945988962213e-05,0.040027908310449015,0.0,0.0,1.2000000476837158,9.83559557445559e-07
0.4920000000000009,-1.2328187147604166e-05,-1.3764863864171978e-05,0.040027923826680925,0.0,0.0,1.2000000476837158,9.237705217932104e-07
