time,x,y,z,velocity,ref_x,ref_y,ref_z
0.0,44.45680236816406,45.15275573730469,14.830474853515625,0.3139440822013052,45.0,45.0,16.200000047683716
0.009871244430541992,44.45880126953125,45.15068054199219,14.829791069030762,0.2978787506850173,45.0,45.0,16.200000047683716
0.01997661590576172,44.46105194091797,45.148441314697266,14.829076766967773,0.3153830827788057,45.0,45.0,16.200000047683716
0.029888391494750977,44.4631233215332,45.146240234375,14.828439712524414,0.2927666401242636,45.0,45.0,16.200000047683716
0.039803266525268555,44.465328216552734,45.144126892089844,14.827716827392578,0.3069368586993595,45.0,45.0,16.200000047683716
0.05006217956542969,44.46745681762695,45.14189147949219,14.827143669128418,0.3111082871261249,45.0,45.0,16.200000047683716
0.06075143814086914,44.4696044921875,45.13972473144531,14.82650089263916,0.2991676241537155,45.0,45.0,16.200000047683716
0.06974148750305176,44.47182083129883,45.13762283325195,14.825891494750977,0.3172315959655166,45.0,45.0,16.200000047683716
0.08406901359558105,44.474021911621094,45.13542175292969,14.825348854064941,0.2844205873464293,45.0,45.0,16.200000047683716
0.08972549438476562,44.47627639770508,45.13340759277344,14.824719429016113,0.3115860934505462,45.0,45.0,16.200000047683716
0.10069870948791504,44.47848129272461,45.13123321533203,14.824248313903809,0.30103394905721376,45.0,45.0,16.200000047683716
0.10982108116149902,44.480735778808594,45.12910842895508,14.82396125793457,0.29554775416470896,45.0,45.0,16.200000047683716
0.11988973617553711,44.483028411865234,45.12699508666992,14.823762893676758,0.31843329614987664,45.0,45.0,16.200000047683716
0.12985897064208984,44.485233306884766,45.12487030029297,14.823601722717285,0.28644752557335723,45.0,45.0,16.200000047683716
0.13979077339172363,44.48756790161133,45.12289810180664,14.823355674743652,0.31253162609640406,45.0,45.0,16.200000047683716
0.1507701873779297,44.489898681640625,45.1207275390625,14.823177337646484,0.30434026070658676,45.0,45.0,16.200000047683716
0.1599290370941162,44.492156982421875,45.11865234375,14.822959899902344,0.2902766132519016,45.0,45.0,16.200000047683716
0.16979241371154785,44.4944953918457,45.116573333740234,14.82276725769043,0.31593945624067965,45.0,45.0,16.200000047683716
0.1831197738647461,44.49676513671875,45.11442947387695,14.822620391845703,0.2891646341964679,45.0,45.0,16.200000047683716
0.1920619010925293,44.49912643432617,45.1124267578125,14.822418212890625,0.31087248914091087,45.0,45.0,16.200000047683716
0.20080256462097168,44.50144577026367,45.110294342041016,14.822253227233887,0.29573536384540705,45.0,45.0,16.200000047683716
