x,y,value
0.203390,-2.847458,-51.503307
0.279661,-2.847458,-55.783291
0.355932,-2.847458,-59.849010
0.432203,-2.847458,-64.429733
0.508474,-2.847458,-69.072060
0.584746,-2.847458,-73.759811
0.661017,-2.847458,-78.447540
0.737288,-2.847458,-83.135254
0.813559,-2.847458,-87.812088
0.889830,-2.847458,-92.473282
0.966102,-2.847458,-97.211243
1.042373,-2.847458,-101.949234
1.118644,-2.847458,-106.679512
1.194915,-2.847458,-111.137299
1.271186,-2.847458,-115.781693
1.347457,-2.847458,-120.320618
1.423728,-2.847458,-124.794937
1.500000,-2.847458,-129.128540
-3.000000,-2.771186,29.224609
-2.923729,-2.771186,35.031231
-2.847458,-2.771186,40.746292
-2.771186,-2.771186,46.228714
-2.694915,-2.771186,52.481884
-2.618644,-2.771186,54.317211
-2.542373,-2.771186,54.652782
-2.466102,-2.771186,54.916782
-2.389831,-2.771186,55.143642
-2.313559,-2.771186,55.324806
-2.237288,-2.771186,55.447411
-2.161017,-2.771186,55.491199
-2.084746,-2.771186,55.475506
-2.008475,-2.771186,55.398430
-1.932203,-2.771186,55.267868
-1.855932,-2.771186,55.236885
-1.779661,-2.771186,55.253445
-1.703390,-2.771186,55.230881
-1.627119,-2.771186,55.073120
-1.550848,-2.771186,54.790470
-1.474576,-2.771186,54.523117
-1.398305,-2.771186,54.273968
-1.322034,-2.771186,54.077282
-1.245763,-2.771186,53.855190
-1.169492,-2.771186,52.376705
-1.093220,-2.771186,50.260559
-1.016949,-2.771186,43.303238
-0.940678,-2.771186,35.909260
-0.864407,-2.771186,30.020035
-0.788136,-2.771186,23.572765
-0.711864,-2.771186,14.047985
-0.635593,-2.771186,5.051067
-0.559322,-2.771186,-2.796635
-0.483051,-2.771186,-10.240433
-0.406780,-2.771186,-15.918835
-0.330508,-2.771186,-20.728790
-0.254237,-2.771186,-25.083736
-0.177966,-2.771186,-29.187065
-0.101695,-2.771186,-33.203823
-0.025424,-2.771186,-36.963894
0.050847,-2.771186,-40.970955
0.127119,-2.771186,-45.582424
0.203390,-2.771186,-50.193840
0.279661,-2.771186,-54.776581
0.355932,-2.771186,-59.456894
0.432203,-2.771186,-64.061859
0.508474,-2.771186,-68.687073
0.584746,-2.771186,-73.319458
0.661017,-2.771186,-78.002304
0.737288,-2.771186,-82.690041
0.813559,-2.771186,-87.377731
0.889830,-2.771186,-92.156578
0.966102,-2.771186,-96.941368
1.042373,-2.771186,-101.679314
1.118644,-2.771186,-106.273277
1.194915,-2.771186,-110.751587
1.271186,-2.771186,-115.395988
1.347457,-2.771186,-120.000473
1.423728,-2.771186,-124.474785
1.500000,-2.771186,-128.889267
-3.000000,-2.694915,27.352371
-2.923729,-2.694915,33.087994
-2.847458,-2.694915,38.553841
-2.771186,-2.694915,43.979801
-2.694915,-2.694915,50.105839
-2.618644,-2.694915,54.100719
-2.542373,-2.694915,54.432598
-2.466102,-2.694915,54.748726
-2.389831,-2.694915,55.006798
-2.313559,-2.694915,55.242146
-2.237288,-2.694915,55.368256
-2.161017,-2.694915,55.473846
-2.084746,-2.694915,55.530827
-2.008475,-2.694915,55.475353
-1.932203,-2.694915,55.366734
-1.855932,-2.694915,55.270412
-1.779661,-2.694915,55.315453
-1.703390,-2.694915,55.289040
-1.627119,-2.694915,55.226955
-1.550848,-2.694915,54.955341
-1.474576,-2.694915,54.677410
-1.398305,-2.694915,54.423481
-1.322034,-2.694915,54.164783
-1.245763,-2.694915,53.957401
-1.169492,-2.694915,53.280880
-1.093220,-2.694915,51.317310
-1.016949,-2.694915,44.839851
-0.940678,-2.694915,37.776161
-0.864407,-2.694915,31.976591
-0.788136,-2.694915,25.922413
-0.711864,-2.694915,16.684771
-0.635593,-2.694915,6.960573
-0.559322,-2.694915,-0.992417
-0.483051,-2.694915,-8.581440
-0.406780,-2.694915,-13.762959
-0.330508,-2.694915,-18.458199
-0.254237,-2.694915,-22.787430
-0.177966,-2.694915,-26.927155
-0.101695,-2.694915,-31.030457
-0.025424,-2.694915,-35.017143
0.050847,-2.694915,-39.655811
0.127119,-2.694915,-44.272949
0.203390,-2.694915,-48.941956
0.279661,-2.694915,-54.074001
0.355932,-2.694915,-59.142612
0.432203,-2.694915,-63.734928
0.508474,-2.694915,-68.330582
0.584746,-2.694915,-72.946671
0.661017,-2.694915,-77.576805
0.737288,-2.694915,-82.244812
0.813559,-2.694915,-86.973991
0.889830,-2.694915,-91.770447
0.966102,-2.694915,-96.566940
1.042373,-2.694915,-101.363350
1.118644,-2.694915,-105.867035
1.194915,-2.694915,-110.365921
1.271186,-2.694915,-115.010284
1.347457,-2.694915,-120.015152
1.423728,-2.694915,-125.079353
