Step,Value
0, 0
100000,0.4111483034212142
100100,0.4111483034212142
200100,2.6073725435137747
300100,2.722189170122147
400100,3.502702383995056
500100,3.8637167036533357
600100,3.9194126307964323
700100,3.7966392421722412
800100,3.9805424284934996
900100,3.9498889982700347
1000100,3.9742476356029512
1100100,4.157064738273621
1200100,4.211040506362915
1300100,4.230792438983917
1400100,4.09326208114624
1500100,4.032327237129212
1600100,4.047463853359222
1700100,4.120097541809082
1800100,4.303608906269074
1900100,4.11645488023758
2000100,4.293519961833954
2100100,4.175155265331268
2200100,4.261832330226898
2300100,4.266211383342743
2400100,4.434036662578583
2500100,4.444036662578583
