lap,lap_time,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7
1,6.140,true,true,false,true,true,true,true,true
2,6.300,true,false,false,true,true,true,true,true
3,6.272,true,false,false,true,true,true,true,true
4,9.540,true,true,false,true,true,true,true,true
5,6.508,true,true,true,true,true,true,true,true
6,5.772,true,true,true,true,true,true,true,true
7,9.960,false,false,true,true,true,true,true,true
