Wall time,Step,Value
0,0,-12.8
1781726525.7575226,100000,-12.69998550415039
1781726533.744711,200000,-12.62463665008545
1781726540.8739939,300000,-12.678749084472656
1781726548.4197109,400000,-12.357341766357422
1781726556.1249254,500000,-12.093491554260254
1781726564.7510316,600000,-12.12541675567627
1781726572.7491806,700000,-12.036691665649414
1781726580.8416631,800000,-11.375350952148438
1781726588.8994126,900000,-10.822149276733398
1781726596.87491,1000000,-10.578591346740723
1781726605.972494,1100000,-10.419135093688965
1781726613.8547463,1200000,-10.193608283996582
1781726622.3508272,1300000,-10.022510528564453
1781726630.585934,1400000,-9.87346076965332
1781726638.9936137,1500000,-9.82089900970459
1781726647.2488887,1600000,-9.740157127380371
1781726655.6584752,1700000,-9.556999206542969
1781726663.0908337,1800000,-9.512205123901367
1781726671.2609978,1900000,-9.467029571533203
1781726679.1475692,2000000,-9.420880317687988
1781726687.2378333,2100000,-9.264445304870605
1781726695.8572981,2200000,-9.162089347839355
1781726703.649352,2300000,-9.15835952758789
1781726711.4487886,2400000,-8.987695693969727
1781726720.5976481,2500000,-8.71509838104248
1781726729.3922658,2600000,-8.426167488098145
1781726737.1329236,2700000,-8.330628395080566
1781726744.37782,2800000,-8.120015144348145
1781726751.7034886,2900000,-8.020220756530762
1781726759.7636282,3000000,-7.900034427642822
1781726769.569299,3100000,-7.5658416748046875
1781726779.2502995,3200000,-7.421512603759766
1781726787.850101,3300000,-7.004879474639893
1781726795.6699789,3400000,-6.822762489318848
1781726803.5167396,3500000,-5.963209629058838
1781726811.1426466,3600000,-5.676084041595459
1781726819.3071926,3700000,-5.590856075286865
1781726826.7278922,3800000,-5.368340969085693
1781726834.7860053,3900000,-4.192581653594971
1781726843.0707223,4000000,-3.4918954372406006
1781726850.767314,4100000,-2.751455307006836
1781726858.3066328,4200000,0.06274495273828506
1781726865.4944675,4300000,1.4408584833145142
1781726873.2373424,4400000,5.783393383026123
1781726880.692977,4500000,7.93257999420166
1781726888.9158158,4600000,13.120153427124023
1781726897.2065392,4700000,17.844388961791992
1781726905.6955307,4800000,18.230466842651367
1781726913.6873236,4900000,21.187179565429688
1781726921.3577316,5000000,23.18001365661621
1781726928.5972767,5100000,25.054981231689453
1781726936.3382688,5200000,24.69267463684082
1781726943.8750184,5300000,25.628759384155273
1781726951.737921,5400000,26.142906188964844
1781726959.289979,5500000,27.419361114501953
1781726966.6690288,5600000,27.728483200073242
1781726974.2928874,5700000,29.114736557006836
1781726981.9113474,5800000,29.098215103149414
1781726989.3313594,5900000,30.137737274169922
1781726997.0532935,6000000,30.322534561157227
1781727004.26735,6100000,32.476219177246094
1781727011.4331856,6200000,32.696205139160156
1781727019.1012545,6300000,32.0612678527832
1781727027.5120282,6400000,33.750308990478516
1781727035.4618552,6500000,35.218467712402344
1781727045.7504666,6600000,35.80105209350586
1781727055.6047304,6700000,35.92066955566406
1781727064.4478607,6800000,36.7082633972168
1781727073.1901116,6900000,36.58603286743164
1781727081.189182,7000000,37.17976379394531
1781727090.2392592,7100000,37.08094024658203
1781727100.310066,7200000,37.7330207824707
1781727109.686117,7300000,39.533905029296875
1781727119.8559952,7400000,39.1865119934082
1781727129.845814,7500000,39.3977165222168
1781727139.808844,7600000,40.46319580078125
1781727149.6170793,7700000,41.75348663330078
1781727159.6346385,7800000,42.47291946411133
1781727167.7977934,7900000,42.817745208740234
1781727175.0746975,8000000,42.117069244384766
1781727182.2565339,8100000,43.3790283203125
1781727189.6018043,8200000,43.5389518737793
1781727196.7561867,8300000,43.85932159423828
1781727204.50254,8400000,44.44551086425781
1781727212.0305276,8500000,44.18994140625
1781727219.3679943,8600000,46.485137939453125
1781727227.336949,8700000,46.85832595825195
1781727237.1713026,8800000,46.074459075927734
1781727247.4784267,8900000,47.43218994140625
1781727257.9102275,9000000,47.79792404174805
1781727268.1061563,9100000,46.849945068359375
1781727277.6040857,9200000,47.69538497924805
1781727286.9654639,9300000,49.28333282470703
1781727297.0946813,9400000,48.39006423950195
1781727307.0883994,9500000,49.44479751586914
1781727317.2540565,9600000,49.877437591552734
1781727326.9817703,9700000,51.047119140625
1781727334.8017137,9800000,50.874046325683594
1781727342.9575143,9900000,51.305606842041016
1781727352.5778928,10000000,51.793270111083984
1781727363.1886868,10100000,52.208351135253906
1781727373.5100815,10200000,52.04635238647461
1781727383.456717,10300000,52.38191223144531
1781727393.9499235,10400000,52.759490966796875
1781727403.8911376,10500000,53.40617752075195
1781727413.4423351,10600000,54.03437423706055
1781727421.390594,10700000,54.66020202636719
1781727429.068298,10800000,54.974700927734375
1781727436.5107987,10900000,55.536285400390625
1781727443.6620576,11000000,56.11943817138672
1781727450.7956426,11100000,55.94416427612305
1781727458.2964256,11200000,56.48832321166992
1781727465.8827302,11300000,57.118473052978516
1781727473.0617826,11400000,56.81649398803711
1781727481.752883,11500000,56.47236251831055
1781727491.9475443,11600000,58.4832763671875
1781727500.6665702,11700000,58.559326171875
1781727508.79957,11800000,58.9676513671875
1781727516.6377287,11900000,58.40767288208008
1781727525.8436687,12000000,59.6464958190918
1781727535.869275,12100000,59.9073600769043
1781727545.8118176,12200000,59.2772216796875
1781727555.7010372,12300000,59.501338958740234
1781727565.6646492,12400000,60.63782501220703
1781727575.5464785,12500000,59.910160064697266
1781727584.2672956,12600000,60.0960578918457
1781727593.093325,12700000,60.13026809692383
1781727602.3303528,12800000,60.50162887573242
1781727611.8104997,12900000,59.50581741333008
1781727621.5034099,13000000,60.590030670166016
1781727630.4623694,13100000,60.8947868347168
1781727638.072414,13200000,61.516605377197266
1781727645.7199564,13300000,61.647098541259766
1781727653.5674074,13400000,61.072601318359375
1781727661.7391908,13500000,62.53046417236328
1781727671.0803633,13600000,63.28183364868164
1781727681.0526395,13700000,63.59050750732422
1781727691.1791308,13800000,62.9604606628418
1781727700.890099,13900000,64.04926300048828
1781727709.6606915,14000000,64.27735900878906
1781727718.3626618,14100000,63.96299743652344
1781727727.3495607,14200000,64.15682983398438
1781727736.2071033,14300000,65.41053771972656
1781727743.5063362,14400000,64.81311798095703
1781727750.9039524,14500000,65.80571746826172
1781727759.2675602,14600000,66.31123352050781
1781727766.9029388,14700000,66.67261505126953
1781727774.7391973,14800000,66.9326400756836
1781727783.0918198,14900000,67.06011199951172
1781727793.2380152,15000000,66.77233123779297
1781727803.2266667,15100000,66.77667999267578
1781727813.3185709,15200000,66.47931671142578
1781727823.1701903,15300000,67.23239135742188
1781727832.2381754,15400000,65.89722442626953
1781727839.7421892,15500000,66.67916870117188
1781727848.0799825,15600000,66.48798370361328
1781727856.1101594,15700000,67.37788391113281
1781727864.33899,15800000,66.66548919677734
1781727872.5740776,15900000,67.20113372802734
1781727880.6999438,16000000,68.48107147216797
1781727888.3202736,16100000,67.82717895507812
1781727897.2035055,16200000,66.82422637939453
1781727906.834245,16300000,68.64939880371094
1781727916.8816817,16400000,68.39311981201172
1781727927.0085397,16500000,68.43643951416016
1781727936.9663453,16600000,66.42137145996094
1781727946.7578816,16700000,68.06066131591797
1781727956.5292108,16800000,68.15684509277344
1781727966.1613858,16900000,69.05480194091797
1781727974.907441,17000000,69.36752319335938
1781727984.1319373,17100000,69.7898178100586
1781727994.3395696,17200000,69.47239685058594
1781728003.679483,17300000,69.87765502929688
1781728011.7566457,17400000,69.94725799560547
1781728019.052425,17500000,69.46883392333984
1781728026.797436,17600000,70.22277069091797
1781728034.8446765,17700000,69.6511001586914
1781728042.4239476,17800000,68.9874267578125
1781728049.767303,17900000,63.79227066040039
1781728056.8361516,18000000,62.32969665527344
1781728063.8131073,18100000,66.76039123535156
1781728070.7443562,18200000,69.50650024414062
1781728077.737037,18300000,68.89422607421875
1781728084.7877405,18400000,70.1849594116211
1781728091.7368457,18500000,69.72525787353516
1781728099.613496,18600000,70.91973876953125
1781728109.656095,18700000,70.21202850341797
1781728117.3038661,18800000,70.40612030029297
1781728124.5448189,18900000,71.43093872070312
1781728131.7085812,19000000,70.89298248291016
1781728138.855455,19100000,71.66233825683594
1781728146.8644845,19200000,71.97134399414062
1781728155.376508,19300000,71.32933044433594
1781728165.6992528,19400000,71.12244415283203
1781728176.5127435,19500000,71.04653930664062
1781728187.5499485,19600000,71.97550964355469
1781728198.7684395,19700000,72.0612564086914
1781728208.333262,19800000,71.78426361083984
1781728218.4972339,19900000,72.64575958251953
1781728229.20684,20000000,71.77418518066406
1781728239.7895472,20100000,72.44090270996094
1781728250.645383,20200000,72.25227355957031
1781728261.4410944,20300000,71.95903778076172
1781728270.6986787,20400000,71.95166778564453
