time,px,py,pz,vx,vy,vz,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref,T1,T2,T3,T4
0.0,-5.0,4.5,1.1990610361099243,0.0,0.0,-0.09390266239643097,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,2.5353429317474365,3.218900442123413,3.4830455780029297,2.6740498542785645
0.01,-5.0,4.5,1.1972877979278564,0.0,0.0,-0.17732051014900208,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,2.901789426803589,3.7145960330963135,3.977895736694336,3.0509934425354004
0.02,-5.0,4.5,1.1948250532150269,-8.13595818272006e-07,-4.6648719944641925e-06,-0.24627844989299774,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,3.3164350986480713,4.199026107788086,4.437249183654785,3.492699384689331
0.03,-5.0,4.499999523162842,1.1918411254882812,-7.59378281145473e-06,-4.5437853259500116e-05,-0.298392117023468,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,3.7929434776306152,4.60039758682251,4.814770698547363,4.00022029876709
0.04,-5.000000476837158,4.499997138977051,1.188515067100525,-3.4807122574420646e-05,-0.00021789556194562465,-0.33260810375213623,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,4.264463424682617,4.8754167556762695,5.059507846832275,4.507569789886475
0.05,-5.000001430511475,4.499989986419678,1.1850244998931885,-0.00010967145499307662,-0.0007121116505004466,-0.3490523397922516,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,4.715641498565674,4.972802639007568,5.162815093994141,4.958198070526123
0.06,-5.000004291534424,4.499971866607666,1.181534767150879,-0.00027124767075292766,-0.0018087136559188366,-0.3489764332771301,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,5.004520893096924,4.974690914154053,5.1104841232299805,5.283528804779053
0.07,-5.000010013580322,4.49993371963501,1.178189992904663,-0.0005681164329871535,-0.0038255304098129272,-0.33447468280792236,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,5.186909198760986,4.849337100982666,4.944701671600342,5.480090618133545
0.08,-5.000020503997803,4.499863147735596,1.1751081943511963,-0.0010490654967725277,-0.007033369969576597,-0.3081836998462677,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,5.146335124969482,4.733747482299805,4.762218475341797,5.5049896240234375
0.09,-5.000038146972656,4.499747276306152,1.172379493713379,-0.0017540943808853626,-0.011568433605134487,-0.2728648781776428,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,5.021040439605713,4.576914310455322,4.597964763641357,5.416862487792969
0.1,-5.000065326690674,4.499573707580566,1.1700645685195923,-0.0026987462770193815,-0.017374753952026367,-0.2314978986978531,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,4.672414302825928,4.478908061981201,4.45458459854126,5.135087013244629
0.11,-5.000103950500488,4.499331951141357,1.1681926250457764,-0.0038670706562697887,-0.02419223077595234,-0.1871941238641739,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,4.258695125579834,4.302715301513672,4.248875141143799,4.739572525024414
0.12,-5.000155925750732,4.499015808105469,1.1667629480361938,-0.005205023568123579,-0.03162657096982002,-0.14296279847621918,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,3.7292401790618896,4.161088943481445,4.0643391609191895,4.198937892913818
0.13,-5.000222206115723,4.498622894287109,1.1657534837722778,-0.006631109397858381,-0.039273034781217575,-0.10094673186540604,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,3.3753058910369873,3.9332127571105957,3.892838716506958,3.7510080337524414
0.14,-5.000302791595459,4.498154640197754,1.1651283502578735,-0.008045458234846592,-0.04682007059454918,-0.06251085549592972,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,3.0511555671691895,3.785928249359131,3.7572579383850098,3.3716180324554443
0.15,-5.000396251678467,4.497613906860352,1.1648457050323486,-0.0093537587672472,-0.0540909618139267,-0.028264706954360008,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,2.9142673015594482,3.545464038848877,3.6039979457855225,3.158642292022705
0.16,-5.0005011558532715,4.497003555297852,1.1648615598678589,-0.010473254136741161,-0.061044156551361084,0.0015818175161257386,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.772186517715454,3.399460554122925,3.4749226570129395,2.9874186515808105
0.17,-5.000614643096924,4.496325969696045,1.1651331186294556,-0.011344591155648232,-0.0677349790930748,0.027159113436937332,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.7727670669555664,3.163562774658203,3.3330078125,2.9253005981445312
0.18,-5.000733852386475,4.4955830574035645,1.165619134902954,-0.011926966719329357,-0.0742759257555008,0.0486021563410759,-4.999300003051758,4.498000144958496,1.2003999948501587,0.014762000180780888,-0.04336300119757652,0.008685999549925327,2.7116382122039795,3.0239672660827637,3.2115182876586914,2.8366830348968506
0.19,-5.000855922698975,4.49477481842041,1.166281819343567,-0.012205386534333229,-0.08080431818962097,0.06627366691827774,-4.999300003051758,4.498000144958496,1.2003999948501587,0.014762000180780888,-0.04336300119757652,0.008685999549925327,2.7700917720794678,2.8206539154052734,3.076117753982544,2.8418259620666504
0.2,-5.000977993011475,4.493900299072266,1.1670868396759033,-0.012184000574052334,-0.08745467662811279,0.0805029347538948,-4.999000072479248,4.497000217437744,1.200600028038025,0.019936000928282738,-0.05829000100493431,0.01168499980121851,2.7211685180664062,2.7551193237304688,2.9822702407836914,2.8033061027526855
0.21,-5.001096725463867,4.49295711517334,1.1680045127868652,-0.011887768283486366,-0.09433943778276443,0.09176775813102722,-4.999000072479248,4.497000217437744,1.200600028038025,0.019936000928282738,-0.05829000100493431,0.01168499980121851,2.7831313610076904,2.6296825408935547,2.8756513595581055,2.845489025115967
0.22,-5.0012102127075195,4.491941928863525,1.1690089702606201,-0.011352259665727615,-0.10153908282518387,0.10044228285551071,-4.998499870300293,4.49560022354126,1.2008999586105347,0.026122000068426132,-0.0760200023651123,0.015250500291585922,2.710597276687622,2.649440050125122,2.8305301666259766,2.8137881755828857
0.23,-5.001316547393799,4.490850925445557,1.170077919960022,-0.010622418485581875,-0.10909304022789001,0.10690043121576309,-4.998499870300293,4.49560022354126,1.2008999586105347,0.026122000068426132,-0.0760200023651123,0.015250500291585922,2.7346112728118896,2.584688186645508,2.74943208694458,2.850524425506592
0.24,-5.001413822174072,4.489680767059326,1.1711920499801636,-0.009743145667016506,-0.11701015383005142,0.11141093820333481,-4.997900009155273,4.493899822235107,1.201200008392334,0.033384498208761215,-0.0966849997639656,0.019411999732255936,2.6183807849884033,2.6675846576690674,2.738467216491699,2.7959530353546143
0.25,-5.001501560211182,4.488428115844727,1.1723345518112183,-0.008756760507822037,-0.12526944279670715,0.11424754559993744,-4.997900009155273,4.493899822235107,1.201200008392334,0.033384498208761215,-0.0966849997639656,0.019411999732255936,2.616096258163452,2.63863468170166,2.686657428741455,2.8118109703063965
0.26,-5.001578330993652,4.48708963394165,1.1734919548034668,-0.0076929242350161076,-0.13385021686553955,0.11574621498584747,-4.997200012207031,4.491700172424316,1.20169997215271,0.04177999868988991,-0.12041500210762024,0.024195000529289246,2.4973092079162598,2.780426025390625,2.734452724456787,2.7464077472686768
