time,px,py,pz,vx,vy,vz,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref,T1,T2,T3,T4
0.0,-5.0,4.5,1.1990606784820557,0.0,0.0,-0.09393864125013351,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,3.563352584838867,4.172651767730713,3.1690735816955566,2.3634276390075684
0.01,-5.0,4.5,1.1973034143447876,0.0,0.0,-0.1757221668958664,-5.0,4.5,1.2000000476837158,0.0,0.0,0.0,5.115949630737305,5.718185901641846,4.253425598144531,3.389793872833252
0.02,-5.0,4.5,1.1949262619018555,-2.3023790163279045e-07,-4.022002940473612e-06,-0.23771469295024872,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,6.810240745544434,7.383534908294678,5.664330005645752,4.740700721740723
0.03,-5.0,4.499999523162842,1.1921871900558472,-2.586917389635346e-06,-3.9660204492975026e-05,-0.2739017903804779,-5.0,4.5,1.2000000476837158,2.2891499611432664e-05,-6.959500024095178e-05,1.3864500033378135e-05,8.128555297851562,8.648033142089844,7.040853023529053,6.08115816116333
0.04,-5.0,4.499997615814209,1.189373254776001,-1.4131910575088114e-05,-0.00019040811457671225,-0.2813948392868042,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,8.833819389343262,9.298985481262207,8.005332946777344,7.038229942321777
0.05,-5.000000476837158,4.499991416931152,1.1867623329162598,-5.189570947550237e-05,-0.0006178896874189377,-0.2610945701599121,-5.0,4.5,1.2000000476837158,0.00018038500274997205,-0.0005462000262923539,0.00010887999815167859,8.942529678344727,9.342066764831543,8.346552848815918,7.426689624786377
0.06,-5.000001907348633,4.499975681304932,1.1845885515213013,-0.00014588877093046904,-0.0015517137944698334,-0.2173769623041153,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,8.492613792419434,8.846086502075195,8.131084442138672,7.3050713539123535
0.07,-5.00000524520874,4.499943256378174,1.1830096244812012,-0.00033596635330468416,-0.0032336129806935787,-0.1578982174396515,-5.0,4.5,1.2000000476837158,0.0005996000254526734,-0.0018082000315189362,0.00036068499321117997,7.445551872253418,7.728377819061279,7.380931854248047,6.698169708251953
0.08,-5.000011920928955,4.499885082244873,1.1820882558822632,-0.0006597639876417816,-0.005837477743625641,-0.09213323146104813,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,5.969131946563721,6.194566249847412,6.349560737609863,5.827524662017822
0.09,-5.000023365020752,4.499791145324707,1.181793451309204,-0.0011381891090422869,-0.009401803836226463,-0.029475485906004906,-5.0,4.499899864196777,1.2000000476837158,0.001399850007146597,-0.004203599877655506,0.0008390499860979617,4.38092041015625,4.511433124542236,5.257019996643066,4.9297027587890625
0.1,-5.0000410079956055,4.499652862548828,1.182030200958252,-0.0017700958997011185,-0.013848296366631985,0.023671800270676613,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,3.1130483150482178,3.1941022872924805,4.4274139404296875,4.261943340301514
0.11,-5.00006628036499,4.499462604522705,1.1826682090759277,-0.00253402441740036,-0.019014200195670128,0.06380472332239151,-4.999899864196777,4.499800205230713,1.2000000476837158,0.002692549955099821,-0.008050999604165554,0.0016081499634310603,2.2352492809295654,2.235213279724121,3.7625980377197266,3.7489681243896484
0.12,-5.000100135803223,4.499215126037598,1.183573603630066,-0.0033988410141319036,-0.024738231673836708,0.09054088592529297,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,1.7399046421051025,1.7244958877563477,3.3396220207214355,3.412440776824951
0.13,-5.000143527984619,4.498906135559082,1.1846230030059814,-0.004330621100962162,-0.030875314027071,0.10494555532932281,-4.999899864196777,4.499599933624268,1.2000999450683594,0.0045818001963198185,-0.013641499914228916,0.0027266000397503376,1.5316493511199951,1.4605079889297485,2.9723496437072754,3.126173734664917
0.14,-5.00019645690918,4.498532772064209,1.1857150793075562,-0.005300398916006088,-0.03734436258673668,0.10921028256416321,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,1.5150365829467773,1.4677648544311523,2.74155330657959,2.9144837856292725
0.15,-5.0002593994140625,4.498092174530029,1.186767816543579,-0.006280385889112949,-0.04407883435487747,0.10527835041284561,-4.99970006942749,4.499199867248535,1.2001999616622925,0.007164500188082457,-0.021236499771475792,0.0042477501556277275,1.6303861141204834,1.5401334762573242,2.486581563949585,2.700166940689087
0.16,-5.000331878662109,4.497581481933594,1.1877214908599854,-0.00724844029173255,-0.051073815673589706,0.09537007659673691,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,1.8214890956878662,1.7829581499099731,2.369688034057617,2.551734447479248
0.17,-5.00041389465332,4.496998310089111,1.1885323524475098,-0.008179634809494019,-0.0583164244890213,0.08108877390623093,-4.999599933624268,4.498700141906738,1.2002999782562256,0.010529999621212482,-0.031073499470949173,0.006219999864697456,2.0645031929016113,1.9941942691802979,2.2252979278564453,2.4089608192443848
0.18,-5.000504493713379,4.496339797973633,1.1891754865646362,-0.009052996523678303,-0.06585587561130524,0.06431733071804047,-4.999300003051758,4.498000144958496,1.2003999948501587,0.014762000180780888,-0.04336300119757652,0.008685999549925327,2.3162529468536377,2.319652557373047,2.2619476318359375,2.368415594100952
