series,step,x1,x2
x_opt,1,3.0,3.0
x_opt,2,4.200002367532215,0.6000011790802813
x_opt,3,2.760004296302976,-2.879999748808596
x_opt,4,1.3917573646759933,-4.068125895886245
x_opt,5,-0.21070634483706996,-4.077158116372284
x_opt,6,-2.145444711172333,-3.287240243260849
x_opt,7,-3.519223941524062,-1.371966930706743
x_opt,8,-2.8694289631792214,1.6132516972525655
x_opt,9,-1.2616062451367085,3.493529444780983
x_opt,10,-0.10380842343272419,3.4316445340422708
x_opt,11,0.9933999716698659,2.669875975084505
x_opt,12,1.3959191190155422,1.2071451840755767
x_opt,13,1.0473802405545203,-0.2873267284242791
x_opt,14,0.5264481882177353,-1.061097040625428
x_opt,15,0.06529538920138817,-1.1829783330193777
x_opt,16,-0.22050442734995665,-0.8918161272602619
x_opt,17,-0.3178949359104974,-0.45149373718256325
x_opt,18,-0.2769155751360464,-0.05971170899486052
x_opt,19,-0.16868766802958782,0.18438936288691266
x_opt,20,-0.0547577442573067,0.2687758340818475
x_opt,21,0.02765123817568407,0.2353067574628544
x_opt,22,0.06671101014674463,0.14412084847980985
x_opt,23,0.06884684422166619,0.04752114248858317
x_opt,24,0.04904390837529151,-0.022686228155603925
x_opt,25,0.022643754695082535,-0.05622883053755323
x_opt,26,0.0005062062507503668,-0.05838661533733466
