Wall time,Step,Value
8.77,819200,8.504312425851822
14.27,1638400,5.774882905185223
19.90,2457600,4.705445475876331
25.91,3276800,5.65222217515111
31.48,4096000,5.209432207047939
37.79,4915200,4.061629459261894
43.13,5734400,4.114273477345705
49.10,6553600,2.832829359918833
54.23,7372800,3.242823116481304
59.19,8192000,2.1283619962632656
64.17,9011200,2.1356563456356525
69.11,9830400,1.8312192410230637
74.15,10649600,1.7824637368321419
79.06,11468800,2.034223262220621
83.96,12288000,2.087401993572712
89.06,13107200,3.8885169699788094
94.08,13926400,1.8524543531239033
99.11,14745600,2.0899823270738125
104.25,15564800,1.6651771627366543
109.59,16384000,1.9057698845863342
114.60,17203200,1.8189703188836575
119.62,18022400,1.3497625403106213
124.68,18841600,1.145773135125637
129.81,19660800,1.0625903941690922
134.98,20480000,0.9786481782793999
140.75,21299200,0.8493137769401073
146.46,22118400,0.7933067940175533
152.18,22937600,0.7753907553851604
157.95,23756800,0.7727864868938923
164.18,24576000,0.8071393147110939
170.04,25395200,0.8237117044627666
175.96,26214400,0.7654549703001976
181.74,27033600,0.7314779981970787
186.98,27852800,0.7527714632451534
192.56,28672000,0.7419879995286465
197.92,29491200,0.7405274771153927
203.35,30310400,0.6410769894719124
210.00,31129600,0.6025406904518604
216.93,31948800,0.5919466875493526
222.50,32768000,0.5902127176523209
227.63,33587200,0.5701267682015896
233.94,34406400,0.5694529376924038
241.22,35225600,0.5574559718370438
247.40,36044800,0.5547392256557941
252.65,36864000,0.5520168244838715
257.93,37683200,0.5584315657615662
263.29,38502400,0.5415704771876335
269.20,39321600,0.5365432798862457
276.13,40140800,0.5364241190254688
283.06,40960000,0.5333482399582863
288.79,41779200,0.539790827780962
294.71,42598400,0.5355488769710064
300.57,43417600,0.5250141564756632
306.41,44236800,0.5177024304866791
312.14,45056000,0.5133498795330524
317.66,45875200,0.5139803998172283
323.12,46694400,0.5131818875670433
328.46,47513600,0.5176855362951756
333.85,48332800,0.505926389247179
339.20,49152000,0.5140855461359024
345.09,49971200,0.5019965227693319
