time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,M1,M2,M3,M4,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref
0.0,-0.03999999910593033,-2.999971389770508,1.4990715980529785,-4.0,0.0028625247068703175,-0.09283474832773209,0.9691636562347412,-0.24641796946525574,0.0,0.0,-0.011796370148658752,0.009906545281410217,0.009154095314443111,0.006324555724859238,0.006324555724859238,3119.784912109375,3010.948486328125,-0.0,-3.0,1.5,-4.0,0.0,0.0
0.01,-0.07999999821186066,-2.9998481273651123,1.4973363876342773,-4.0,0.012328621000051498,-0.17352305352687836,0.969149112701416,-0.24647513031959534,5.928398604737595e-05,3.2153326174011454e-05,-0.043663620948791504,0.05070360004901886,0.03895760327577591,0.011384200304746628,698.5606079101562,5647.521484375,5457.8701171875,-0.039995260536670685,-2.9997334480285645,1.5,-3.998577833175659,0.05333175137639046,0.0
0.02,-0.119999960064888,-2.999546527862549,1.4949480295181274,-3.9999961853027344,0.030159784480929375,-0.23883408308029175,0.9690952897071838,-0.24668671190738678,0.0003529840905684978,0.00015845902089495212,-0.07882730662822723,0.14988932013511658,0.09318071603775024,477.9446105957031,1628.427734375,7680.75146484375,7430.53759765625,-0.07996208220720291,-2.9989333152770996,1.5,-3.9943125247955322,0.10665402561426163,0.0
0.03,-0.15999957919120789,-2.998976707458496,1.492071270942688,-3.999962091445923,0.0569777749478817,-0.28767091035842896,0.9689972400665283,-0.24706850945949554,0.0011941384291276336,0.00042522436706349254,-0.10325794667005539,0.32180097699165344,0.17010879516601562,1350.3582763671875,2664.072265625,9282.7265625,8987.6826171875,-0.11987204104661942,-2.9976003170013428,1.5,-3.9872069358825684,0.15995733439922333,0.0
0.04,-0.19999763369560242,-2.998051166534424,1.4888659715652466,-3.9998056888580322,0.09255832433700562,-0.3205341398715973,0.968865692615509,-0.2475680112838745,0.0029631773941218853,0.0008524797158315778,-0.11097509413957596,0.5656051635742188,0.2645232379436493,2347.23193359375,3714.478271484375,10493.9384765625,10166.2431640625,-0.1596967577934265,-2.995734453201294,1.5,-3.9772660732269287,0.21323221921920776,0.0
0.05,-0.23999087512493134,-2.9966909885406494,1.4854743480682373,-3.999323844909668,0.13600845634937286,-0.33916521072387695,0.9687138795852661,-0.2481028288602829,0.0060300882905721664,0.001435425248928368,-0.10026204586029053,0.8705201148986816,0.3694412112236023,3363.37744140625,4724.474609375,11349.76953125,10997.890625,-0.1994079351425171,-2.993335723876953,1.5,-3.9644970893859863,0.26646918058395386,0.0
0.06,-0.27997270226478577,-2.994830369949341,1.4820148944854736,-3.9981813430786133,0.18606960773468018,-0.34595125913619995,0.9685497283935547,-0.24858078360557556,0.01070396974682808,0.0021479458082467318,-0.07053487002849579,1.2195262908935547,0.47775644063949585,4341.640625,5660.8828125,11902.1044921875,11527.7568359375,-0.238977313041687,-2.9904050827026367,1.5,-3.948909044265747,0.3196587860584259,0.0
0.07,-0.3199319839477539,-2.992417812347412,1.4785783290863037,-3.9959278106689453,0.24124866724014282,-0.34365683794021606,0.9683707356452942,-0.2489045262336731,0.017202505841851234,0.002949557499960065,-0.02243843860924244,1.593074917793274,0.5832159519195557,5237.33544921875,6492.99658203125,12197.6181640625,11798.9873046875,-0.2783767580986023,-2.986942768096924,1.5,-3.9305131435394287,0.3727915585041046,0.0
0.08,-0.35985246300697327,-2.9894180297851562,1.4752271175384521,-3.992048740386963,0.2999761700630188,-0.335121214389801,0.9681624174118042,-0.24897755682468414,0.025640515610575676,0.003792579984292388,0.04223727807402611,1.970476746559143,0.6806907057762146,6038.91162109375,7210.98779296875,12277.0615234375,11849.0166015625,-0.3175782561302185,-2.9829494953155518,1.5,-3.909322500228882,0.4258580505847931,0.0
0.09,-0.39971262216567993,-2.985808849334717,1.472000002861023,-3.9860146045684814,0.3609105050563812,-0.32270899415016174,0.9678968191146851,-0.24870967864990234,0.03602544963359833,0.004628987051546574,0.12152040004730225,2.3318352699279785,0.7659481167793274,6777.43408203125,7844.6337890625,12182.783203125,11716.70703125,-0.35655394196510315,-2.978425979614258,1.5,-3.8853518962860107,0.47884881496429443,0.0
0.1,-0.43948569893836975,-2.9815776348114014,1.4689199924468994,-3.9773077964782715,0.42311549186706543,-0.30800339579582214,0.9675371646881104,-0.24801887571811676,0.04826199263334274,0.005413733422756195,0.21303534507751465,2.658275604248047,0.8355516195297241,7491.04833984375,8430.392578125,11959.3857421875,11442.541015625,-0.39527609944343567,-2.9733726978302,1.5,-3.8586184978485107,0.5317544937133789,0.0
0.11,-0.4791404902935028,-2.976720094680786,1.4659963846206665,-3.9654805660247803,0.48576298356056213,-0.29236114025115967,0.967042863368988,-0.24683451652526855,0.062157753854990005,0.00610735360532999,0.3134630024433136,2.934802293777466,0.8878012299537659,8144.0205078125,8943.8251953125,11646.5361328125,11066.599609375,-0.43371716141700745,-2.9677910804748535,1.5,-3.829141616821289,0.5845656394958496,0.0
0.12,-0.5186429023742676,-2.971240758895874,1.4632236957550049,-3.950239658355713,0.5479418635368347,-0.2772734463214874,0.9663757681846619,-0.24510344862937927,0.07744423300027847,0.006679796148091555,0.41973167657852173,3.1496658325195312,0.9217572212219238,8719.6796875,9373.94921875,11247.4404296875,10593.4755859375,-0.47184982895851135,-2.961681842803955,1.5,-3.7969417572021484,0.637272834777832,0.0
0.13,-0.5579572319984436,-2.96515154838562,1.4605846405029297,-3.9314355850219727,0.6089191436767578,-0.26390767097473145,0.9655076265335083,-0.24279040098190308,0.0937938466668129,0.007110143546015024,0.527681291103363,3.2962913513183594,0.9376420378684998,9213.474609375,9720.5615234375,10791.896484375,10056.6298828125,-0.509647011756897,-2.9550459384918213,1.5,-3.7620420455932617,0.6898667216300964,0.0
0.14,-0.5970467329025269,-2.958467483520508,1.4580585956573486,-3.908952474594116,0.668417751789093,-0.2526054084300995,0.964424192905426,-0.23988443613052368,0.11084718257188797,0.007386530749499798,0.6332074999809265,3.373762607574463,0.9366177916526794,9646.4326171875,10010.01953125,10331.611328125,9511.171875,-0.5470817685127258,-2.947885036468506,1.5,-3.7244670391082764,0.7423380017280579,0.0
0.15,-0.6358732581138611,-2.951202630996704,1.455627679824829,-3.882652997970581,0.7264963388442993,-0.2430960088968277,0.9631266593933105,-0.2363990843296051,0.1282423436641693,0.007504314184188843,0.7311143279075623,3.3866641521453857,0.9205857515335083,10030.9482421875,10259.4267578125,9911.1884765625,9010.3203125,-0.5841274857521057,-2.940199851989746,1.5,-3.68424391746521,0.7946773171424866,0.0
0.16,-0.6743972897529602,-2.9433693885803223,1.4532784223556519,-3.8524012565612793,0.7833133935928345,-0.23492233455181122,0.9616302847862244,-0.2323777824640274,0.1456434577703476,0.007464498281478882,0.8161590099334717,3.3431057929992676,0.8918827176094055,10366.708984375,10472.318359375,9555.1552734375,8587.0078125,-0.6207579374313354,-2.9319918155670166,1.5,-3.6414010524749756,0.8468753695487976,0.0
0.17,-0.7125779390335083,-2.93497896194458,1.451002597808838,-3.818066358566284,0.8390525579452515,-0.22757813334465027,0.9599591493606567,-0.22789286077022552,0.16275864839553833,0.007272997871041298,0.8838352560997009,3.2530977725982666,0.8530694842338562,10652.6728515625,10650.0947265625,9279.4208984375,8263.5341796875,-0.6569468975067139,-2.92326283454895,1.5,-3.5959689617156982,0.898922860622406,0.0
