time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,M1,M2,M3,M4,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref
0.0,-0.03999999910593033,-2.999967098236084,1.4990794658660889,-4.0,0.003285038284957409,-0.09205758571624756,0.9691636562347412,-0.24641796946525574,0.0,0.0,-0.006671695504337549,0.015201743692159653,0.009278761222958565,0.006324555724859238,633.9359130859375,2947.9130859375,3133.0322265625,-0.0,-3.0,1.5,-4.0,0.0,0.0
0.01,-0.07999999821186066,-2.9998250007629395,1.4973788261413574,-4.0,0.014206637628376484,-0.1700686812400818,0.9691554307937622,-0.2464503049850464,8.509714825777337e-05,2.623327418405097e-05,-0.01760963723063469,0.07551242411136627,0.039329446852207184,0.011384200304746628,1431.453369140625,5335.759765625,5681.81884765625,-0.039995260536670685,-2.9997334480285645,1.5,-3.998577833175659,0.05333175137639046,0.0
0.02,-0.11999993026256561,-2.9994771480560303,1.4950757026672363,-3.9999935626983643,0.03479134663939476,-0.23031172156333923,0.9691336750984192,-0.24653562903404236,0.0004994749906472862,0.0001237722026417032,-0.019255315884947777,0.20418918132781982,0.09378658980131149,664.057861328125,2318.96533203125,7251.13232421875,7733.15576171875,-0.07996208220720291,-2.9989333152770996,1.5,-3.9943125247955322,0.10665402561426163,0.0
0.03,-0.159999281167984,-2.9988210201263428,1.4923583269119263,-3.9999351501464844,0.06562007963657379,-0.2717389762401581,0.9691087603569031,-0.24662867188453674,0.0016045038355514407,0.0003265792620368302,-0.006219707429409027,0.4071628451347351,0.17072853446006775,1565.6751708984375,3227.662841796875,8748.3056640625,9341.1689453125,-0.11987204104661942,-2.9976003170013428,1.5,-3.9872069358825684,0.15995733439922333,0.0
0.04,-0.19999612867832184,-2.9977593421936035,1.4894050359725952,-3.999685049057007,0.10617277026176453,-0.2953251302242279,0.9690951108932495,-0.24665749073028564,0.0037879422307014465,0.0006518099689856172,0.02135627344250679,0.6778818964958191,0.2649581730365753,2529.17529296875,4102.6796875,9868.59375,10546.5927734375,-0.1596967577934265,-2.995734453201294,1.5,-3.9772660732269287,0.21323221921920776,0.0
0.05,-0.23998579382896423,-2.996208429336548,1.4863694906234741,-3.998966693878174,0.15509207546710968,-0.3035532534122467,0.9691013693809509,-0.246549591422081,0.007399393245577812,0.001099223387427628,0.06136526167392731,1.0023189783096313,0.3696013391017914,3476.98046875,4911.3115234375,10645.078125,11381.6494140625,-0.1994079351425171,-2.993335723876953,1.5,-3.9644970893859863,0.26646918058395386,0.0
0.06,-0.27995941042900085,-2.9941020011901855,1.4833741188049316,-3.9973623752593994,0.210652157664299,-0.2995367646217346,0.9691240191459656,-0.24624057114124298,0.012711917981505394,0.0016522285295650363,0.11322644352912903,1.362000823020935,0.47780656814575195,4367.83740234375,5637.72314453125,11134.76171875,11897.177734375,-0.238977313041687,-2.9904050827026367,1.5,-3.948909044265747,0.3196587860584259,0.0
0.07,-0.3199029564857483,-2.9913928508758545,1.4805067777633667,-3.994354486465454,0.2709137797355652,-0.2867371737957001,0.9691475033760071,-0.24566636979579926,0.01990034617483616,0.0022833419498056173,0.17610454559326172,1.7369251251220703,0.583454966545105,5172.76416015625,6264.8251953125,11380.056640625,12135.720703125,-0.2783767580986023,-2.986942768096924,1.5,-3.9305131435394287,0.3727915585041046,0.0
0.08,-0.3597969114780426,-2.9880530834198,1.477821707725525,-3.9893956184387207,0.33397722244262695,-0.26851218938827515,0.9691432118415833,-0.24476440250873566,0.029034482315182686,0.0029594427905976772,0.24923080205917358,2.1061158180236816,0.6813236474990845,5898.74560546875,6796.56787109375,11420.66796875,12134.185546875,-0.3175782561302185,-2.9829494953155518,1.5,-3.909322500228882,0.4258580505847931,0.0
0.09,-0.3996165692806244,-2.984070062637329,1.4753462076187134,-3.9819648265838623,0.3982986807823181,-0.24755063652992249,0.9690723419189453,-0.2434738576412201,0.0400751456618309,0.003647025441750884,0.3324180841445923,2.4501965045928955,0.7670937180519104,6576.5673828125,7262.11962890625,11300.283203125,11935.18359375,-0.35655394196510315,-2.978425979614258,1.5,-3.8853518962860107,0.47884881496429443,0.0
